R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,Dz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
175,25,1600,200,25,1900,200,100,0,0,0,0,7,75,10,10.0,16.0,0.001,0.003,0.03
sysTime,GRawX,GRawY,GRawZ,ARawX,ARawY,ARawZ,APT1X,APT1Y,APT1Z,APT2X,APT2Y,APT2Z,aRawR,aRawP,aPT1R,aPT1P,aPT2R,aPT2P
151.341,2.464,0.012,-1.103,0.273,-0.114,9.908,0.306,-0.097,9.859,0.308,-0.096,9.853,-0.664,-1.579,-0.563,-1.778,-0.563,-1.796
151.351,3.074,-5.603,-1.713,0.316,-0.114,9.829,0.304,-0.099,9.851,0.308,-0.097,9.853,-0.670,-1.843,-0.575,-1.773,-0.564,-1.791
151.361,0.877,-2.307,2.558,0.308,-0.079,9.814,0.305,-0.095,9.849,0.307,-0.097,9.853,-0.461,-1.803,-0.552,-1.778,-0.564,-1.787
151.372,-4.616,-3.283,-1.347,0.294,-0.064,9.850,0.305,-0.093,9.846,0.307,-0.096,9.851,-0.376,-1.713,-0.545,-1.776,-0.561,-1.785
151.382,5.516,3.796,6.343,0.308,-0.114,9.800,0.311,-0.098,9.846,0.307,-0.096,9.851,-0.672,-1.806,-0.572,-1.810,-0.561,-1.788
151.394,-4.249,-3.039,2.314,0.308,-0.114,9.915,0.310,-0.098,9.849,0.308,-0.096,9.850,-0.664,-1.785,-0.574,-1.803,-0.562,-1.793
151.405,-1.930,1.477,4.267,0.330,-0.122,9.886,0.307,-0.101,9.855,0.307,-0.097,9.850,-0.707,-1.915,-0.587,-1.787,-0.567,-1.791
151.417,-1.564,1.232,4.756,0.323,-0.093,9.850,0.311,-0.100,9.858,0.308,-0.098,9.852,-0.543,-1.880,-0.581,-1.812,-0.571,-1.795
151.429,-0.709,-0.598,-5.620,0.316,-0.136,9.872,0.311,-0.106,9.856,0.309,-0.099,9.853,-0.792,-1.834,-0.620,-1.812,-0.579,-1.798
151.440,2.830,4.528,-5.009,0.323,-0.100,9.843,0.313,-0.101,9.852,0.309,-0.100,9.853,-0.585,-1.882,-0.592,-1.823,-0.582,-1.802
151.452,-1.808,-3.527,3.535,0.280,-0.114,9.850,0.312,-0.102,9.852,0.310,-0.100,9.852,-0.668,-1.630,-0.597,-1.816,-0.585,-1.807
151.464,-6.325,0.378,-0.615,0.323,-0.107,9.857,0.307,-0.106,9.854,0.310,-0.101,9.853,-0.626,-1.879,-0.620,-1.788,-0.592,-1.804
151.475,-1.686,-0.231,-0.737,0.287,-0.129,9.829,0.304,-0.107,9.850,0.309,-0.102,9.853,-0.753,-1.675,-0.627,-1.770,-0.598,-1.798
151.487,-3.151,2.941,-6.474,0.308,-0.107,9.893,0.302,-0.113,9.851,0.308,-0.104,9.852,-0.624,-1.789,-0.657,-1.762,-0.610,-1.791
151.499,0.633,5.749,7.197,0.258,-0.158,9.980,0.302,-0.119,9.862,0.306,-0.107,9.853,-0.907,-1.485,-0.694,-1.758,-0.623,-1.785
151.510,4.905,2.819,0.361,0.883,-0.186,9.304,0.305,-0.135,9.849,0.304,-0.112,9.858,-1.145,-5.427,-0.790,-1.778,-0.651,-1.769
151.522,-0.587,2.209,15.376,0.467,-0.122,9.764,0.357,-0.114,9.843,0.312,-0.120,9.854,-0.716,-2.739,-0.669,-2.079,-0.698,-1.819
151.534,-1.320,-5.236,-8.794,-0.179,-0.546,9.879,0.330,-0.225,9.791,0.321,-0.131,9.843,-3.164,1.040,-1.318,-1.934,-0.764,-1.868
151.545,-2.174,3.552,6.343,0.100,0.934,10.231,0.288,-0.025,9.847,0.314,-0.124,9.838,5.218,-0.561,-0.145,-1.677,-0.722,-1.833
151.557,3.684,-6.701,5.000,-0.208,0.301,11.072,0.301,-0.224,9.880,0.319,-0.138,9.836,1.561,1.078,-1.298,-1.748,-0.809,-1.860
151.569,-5.226,-1.208,1.215,1.961,-2.988,10.296,0.308,-0.194,9.831,0.311,-0.136,9.828,-15.924,-10.373,-1.132,-1.795,-0.793,-1.818
151.580,1.243,-4.382,-2.568,1.472,1.875,10.015,0.301,-0.254,9.819,0.294,-0.165,9.834,10.499,-8.229,-1.484,-1.756,-0.963,-1.714
151.592,-0.221,2.697,5.732,1.149,-0.510,9.728,0.311,-0.165,9.771,0.292,-0.169,9.819,-2.982,-6.733,-0.971,-1.825,-0.988,-1.708
151.604,-1.808,-4.382,-4.643,0.768,2.076,9.649,0.345,-0.128,9.769,0.298,-0.175,9.815,12.113,-4.456,-0.751,-2.023,-1.026,-1.739
151.615,-6.081,4.651,1.215,0.840,-2.026,9.865,0.367,-0.145,9.769,0.313,-0.156,9.796,-11.571,-4.773,-0.852,-2.154,-0.914,-1.835
151.627,4.417,2.209,1.826,-0.625,0.783,9.929,0.317,-0.141,9.794,0.323,-0.162,9.799,4.503,3.592,-0.826,-1.857,-0.950,-1.893
151.639,2.342,2.941,8.174,-0.862,-0.172,10.008,0.285,-0.174,9.810,0.326,-0.162,9.796,-0.983,4.925,-1.019,-1.668,-0.948,-1.907
151.651,0.388,-6.579,-5.498,1.544,0.330,9.936,0.346,-0.113,9.818,0.319,-0.157,9.801,1.883,-8.836,-0.662,-2.021,-0.923,-1.867
151.662,4.661,-2.551,-1.347,-0.280,0.725,9.707,0.264,-0.236,9.839,0.314,-0.169,9.809,4.275,1.649,-1.377,-1.542,-0.991,-1.838
151.674,-7.912,-5.236,-5.376,0.675,0.273,9.354,0.289,-0.051,9.829,0.305,-0.156,9.819,1.668,-4.129,-0.297,-1.687,-0.915,-1.783
151.686,8.689,0.866,3.047,-0.488,0.359,9.886,0.280,-0.025,9.826,0.303,-0.129,9.817,2.079,2.828,-0.147,-1.636,-0.758,-1.771
151.697,-0.221,1.232,3.779,-0.560,-0.136,11.251,0.275,-0.061,9.887,0.301,-0.107,9.824,-0.694,2.852,-0.355,-1.598,-0.624,-1.758
151.709,-2.052,-1.940,7.563,2.019,-0.574,8.909,0.430,-0.151,9.896,0.315,-0.111,9.843,-3.602,-12.749,-0.877,-2.490,-0.649,-1.834
151.720,-0.221,-0.476,-7.207,0.675,0.668,10.504,0.313,-0.111,9.880,0.309,-0.120,9.844,3.634,-3.673,-0.647,-1.818,-0.699,-1.800
151.732,5.393,0.134,2.436,-0.402,-0.222,10.871,0.301,-0.154,9.828,0.314,-0.120,9.837,-1.173,2.120,-0.900,-1.754,-0.700,-1.829
151.744,0.511,-1.086,15.010,2.162,0.538,9.412,0.349,-0.187,9.810,0.298,-0.136,9.835,3.195,-12.926,-1.097,-2.041,-0.792,-1.741
151.755,-7.057,3.064,-4.155,1.587,0.510,10.102,0.255,-0.190,9.764,0.278,-0.146,9.830,2.857,-8.926,-1.118,-1.499,-0.852,-1.621
151.767,-0.953,-2.917,-9.526,0.014,-0.783,8.614,0.070,-0.264,9.667,0.244,-0.161,9.806,-5.197,-0.095,-1.565,-0.419,-0.943,-1.429
151.779,0.633,-2.307,9.761,0.423,-0.423,8.995,-0.045,-0.352,9.726,0.182,-0.198,9.798,-2.696,-2.696,-2.073,0.270,-1.158,-1.066
151.791,0.633,4.040,0.117,2.133,1.803,9.433,0.124,-0.330,9.800,0.147,-0.241,9.796,10.567,-12.532,-1.935,-0.728,-1.410,-0.859
151.802,-4.982,3.308,-3.544,1.595,2.248,10.023,0.207,-0.203,9.842,0.149,-0.262,9.799,12.500,-8.830,-1.183,-1.206,-1.532,-0.874
151.814,-6.325,-0.109,3.413,1.415,1.702,9.182,0.245,0.119,9.807,0.151,-0.213,9.811,10.391,-8.622,0.699,-1.432,-1.245,-0.885
151.826,0.022,-1.452,1.704,-0.718,-1.997,10.217,0.382,0.081,9.742,0.196,-0.133,9.803,-11.040,3.950,0.481,-2.249,-0.782,-1.148
151.837,12.962,-5.603,9.028,-6.516,0.229,13.637,0.329,0.057,9.798,0.278,-0.083,9.765,0.871,25.551,0.335,-1.925,-0.488,-1.633
151.849,7.469,-8.532,-5.742,5.712,2.931,4.160,0.247,0.050,9.814,0.279,-0.086,9.804,22.542,-48.324,0.293,-1.444,-0.507,-1.634
151.861,-17.555,-3.772,-11.723,-0.258,-3.614,13.665,0.331,-0.000,9.896,0.225,-0.034,9.824,-14.818,1.048,-0.003,-1.917,-0.198,-1.318
