R
Px,I,D,Py,I,D,Pz,I,D,FFrx,y,FFdrx,y,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
155,25,1600,180,25,1900,200,100,0,0,0,0,7,75,10,10.0,16.0,0.001,0.003,0.03
sysTime,GRawX,GRawY,GRawZ,ARawX,ARawY,ARawZ,APT1X,APT1Y,APT1Z,APT2X,APT2Y,APT2Z,aRawR,aRawP,aPT1R,aPT1P,aPT2R,aPT2P
285.329,-4.860,-4.992,-8.305,0.158,-0.014,8.916,0.255,-0.435,9.806,0.226,-0.463,9.829,-0.092,-1.016,-2.543,-1.491,-2.698,-1.319
285.341,-9.865,-2.307,-0.004,1.185,-1.688,9.469,0.182,-0.480,9.797,0.206,-0.463,9.827,-10.038,-7.029,-2.807,-1.067,-2.700,-1.202
285.352,0.388,2.209,10.371,-0.704,0.862,10.123,0.187,-0.386,9.774,0.213,-0.457,9.814,4.858,3.966,-2.263,-1.099,-2.668,-1.242
285.364,10.399,-2.185,-2.934,-1.688,-0.919,9.369,0.073,-0.378,9.838,0.199,-0.444,9.817,-5.520,10.173,-2.206,-0.429,-2.594,-1.160
285.375,-1.808,-1.330,6.098,0.229,0.215,11.144,0.215,-0.529,9.822,0.199,-0.453,9.813,1.108,-1.182,-3.086,-1.256,-2.646,-1.161
285.387,-1.075,-1.452,9.150,1.056,-1.142,9.074,0.351,-0.473,9.852,0.219,-0.453,9.828,-7.131,-6.590,-2.753,-2.042,-2.644,-1.276
285.399,-3.395,0.134,-13.310,1.199,1.544,9.829,0.293,-0.353,9.831,0.226,-0.453,9.823,8.871,-6.879,-2.058,-1.712,-2.643,-1.319
285.411,-0.953,1.355,-1.347,-0.366,-1.056,11.668,0.205,-0.594,9.814,0.230,-0.463,9.812,-5.172,1.792,-3.465,-1.198,-2.703,-1.343
285.422,-0.831,-0.231,-1.347,0.905,-1.587,8.140,0.059,-0.501,9.782,0.196,-0.463,9.825,-10.976,-6.232,-2.934,-0.347,-2.701,-1.147
285.434,0.633,6.360,4.023,-1.013,0.783,9.678,-0.033,-0.316,9.832,0.168,-0.451,9.824,4.603,5.959,-1.843,0.194,-2.631,-0.980
285.446,-3.761,6.482,-2.690,-0.244,-1.228,9.412,0.021,-0.478,9.811,0.144,-0.446,9.823,-7.438,1.474,-2.791,-0.122,-2.606,-0.839
285.457,4.905,1.965,5.000,-1.250,-1.961,9.304,0.093,-0.506,9.825,0.141,-0.450,9.829,-11.807,7.493,-2.949,-0.547,-2.623,-0.824
285.469,5.393,5.505,1.948,-0.280,0.546,11.014,0.195,-0.249,9.942,0.154,-0.425,9.837,2.838,1.456,-1.439,-1.129,-2.477,-0.897
285.481,-2.418,-6.091,0.605,-0.007,1.674,10.109,0.227,-0.165,9.975,0.165,-0.394,9.866,9.407,0.040,-0.948,-1.305,-2.288,-0.960
285.492,-2.785,-3.283,-9.648,-0.380,-1.120,10.095,0.095,-0.275,9.992,0.160,-0.362,9.890,-6.334,2.148,-1.582,-0.544,-2.100,-0.931
285.504,-2.907,3.552,-0.859,1.084,-0.668,8.341,0.024,-0.362,9.931,0.140,-0.350,9.916,-4.544,-7.390,-2.091,-0.138,-2.022,-0.812
285.516,-2.907,8.313,6.709,-0.071,-2.514,9.168,-0.068,-0.390,9.912,0.108,-0.334,9.925,-15.346,0.433,-2.259,0.396,-1.931,-0.623
285.527,1.731,-3.894,5.488,1.911,-3.039,9.290,-0.076,-0.433,9.903,0.052,-0.322,9.926,-17.776,-11.068,-2.507,0.440,-1.860,-0.302
285.539,-6.325,3.918,-4.399,2.895,1.587,10.698,0.015,-0.559,9.892,0.002,-0.371,9.915,8.157,-14.995,-3.237,-0.088,-2.149,-0.013
285.551,0.022,2.819,0.605,-2.902,2.838,9.239,0.029,-0.558,9.944,0.027,-0.446,9.914,16.340,16.723,-3.214,-0.169,-2.577,-0.158
285.561,9.056,0.744,-1.347,-0.596,-1.717,9.721,-0.312,-0.484,10.038,-0.006,-0.451,9.935,-10.004,3.458,-2.762,1.784,-2.603,0.039
285.571,3.684,-15.491,9.394,5.769,-3.779,12.193,-0.791,-0.640,10.234,-0.154,-0.454,9.963,-15.659,-24.334,-3.572,4.413,-2.612,0.889
285.581,13.939,10.998,0.483,9.764,1.652,9.836,-0.929,-0.857,10.600,-0.345,-0.523,10.050,6.802,-44.413,-4.610,4.997,-2.978,1.969
285.591,19.310,20.520,-6.718,15.986,4.734,-2.536,-0.577,-0.801,10.617,-0.501,-0.611,10.224,16.313,-71.464,-4.310,3.105,-3.419,2.805
285.601,-27.443,10.022,-3.300,8.636,-0.488,0.273,0.270,-0.567,9.873,-0.466,-0.612,10.269,-3.237,-86.335,-3.289,-1.567,-3.413,2.596
285.612,0.755,-7.312,-2.446,-10.777,-0.416,16.396,0.444,-0.536,9.391,-0.255,-0.595,10.092,-1.217,33.326,-3.265,-2.704,-3.377,1.449
285.622,-18.654,16.370,-2.568,6.725,7.084,6.782,0.232,-0.286,9.318,-0.189,-0.597,9.975,36.583,-34.455,-1.758,-1.429,-3.426,1.087
285.632,-18.166,-0.109,3.169,-3.894,-4.584,21.231,0.401,0.144,9.498,-0.095,-0.476,9.826,-11.995,10.169,0.868,-2.421,-2.777,0.557
285.642,43.359,24.549,14.766,-3.800,-14.133,5.367,-0.082,-0.228,10.012,-0.027,-0.328,9.847,-65.078,14.119,-1.305,0.471,-1.912,0.162
285.652,-41.360,10.144,-18.437,13.407,7.149,5.769,0.743,-0.441,9.629,-0.038,-0.376,9.878,26.108,-55.608,-2.620,-4.411,-2.184,0.225
285.663,48.852,1.599,12.324,-27.992,-7.185,20.714,0.619,-0.391,9.698,0.258,-0.349,9.771,-11.663,51.956,-2.305,-3.653,-2.046,-1.512
285.673,17.601,52.870,11.103,18.458,12.509,9.426,0.350,-0.271,9.867,0.193,-0.404,9.794,31.128,-49.707,-1.576,-2.035,-2.367,-1.130
285.683,56.665,38.221,18.062,-11.345,-12.897,19.141,0.518,0.037,10.331,0.294,-0.290,9.799,-30.113,26.189,0.208,-2.876,-1.696,-1.721
285.693,-15.480,38.831,11.958,17.603,1.314,-8.104,0.621,-0.712,10.321,0.241,-0.328,10.004,3.883,-65.027,-3.943,-3.440,-1.878,-1.380
285.703,44.457,36.024,-1.103,-21.454,-1.954,21.246,0.437,-0.574,10.104,0.400,-0.389,9.981,-3.705,45.181,-3.251,-2.476,-2.235,-2.299
285.714,31.273,63.002,15.132,2.759,4.181,16.719,-0.780,-0.508,10.803,0.242,-0.428,10.045,13.868,-9.099,-2.691,4.130,-2.442,-1.379
285.724,62.646,67.763,6.587,6.394,-9.908,7.070,-0.380,-0.655,10.988,0.065,-0.406,10.221,-46.128,-27.729,-3.413,1.981,-2.278,-0.368
285.734,13.817,43.592,-4.399,-9.922,6.107,9.189,-0.084,-0.766,10.952,0.077,-0.503,10.358,24.315,41.985,-4.004,0.441,-2.782,-0.429
285.744,36.644,65.688,9.394,5.403,0.459,11.388,-0.493,-0.714,10.552,-0.022,-0.535,10.413,2.090,-25.376,-3.871,2.671,-2.945,0.121
285.755,74.365,69.960,14.399,-4.569,-7.343,16.195,-0.558,-0.701,11.199,-0.085,-0.542,10.453,-23.587,14.419,-3.579,2.850,-2.972,0.468
285.765,-25.246,35.291,-20.024,4.727,10.439,7.932,-0.394,-0.764,11.097,-0.197,-0.621,10.628,48.531,-19.838,-3.941,2.031,-3.349,1.065
285.775,53.124,81.191,41.988,2.457,-11.158,11.136,-0.545,-0.701,11.364,-0.219,-0.583,10.691,-44.397,-8.863,-3.528,2.742,-3.124,1.173
285.786,5.027,46.278,-14.653,-5.776,4.684,14.384,-0.307,-0.903,11.297,-0.246,-0.650,10.808,16.824,20.910,-4.574,1.555,-3.446,1.303
285.796,46.654,42.493,14.033,2.938,-4.332,10.770,-0.512,-0.617,11.480,-0.284,-0.658,10.907,-21.221,-14.212,-3.076,2.552,-3.455,1.494
285.806,14.061,46.522,-0.859,9.110,1.228,10.641,0.022,-1.205,11.485,-0.317,-0.711,11.014,5.014,-40.402,-5.995,-0.109,-3.698,1.649
285.817,63.257,12.219,15.132,-9.721,-8.485,16.777,-0.502,-1.109,11.773,-0.233,-0.774,11.098,-23.647,27.355,-5.382,2.436,-3.994,1.203
285.827,18.211,-1.086,-22.222,-6.186,1.990,14.089,-0.375,-1.105,11.911,-0.291,-0.847,11.232,7.373,23.508,-5.301,1.799,-4.316,1.481
285.837,11.253,14.294,6.953,12.818,10.504,8.384,-0.161,-0.429,12.046,-0.325,-0.870,11.375,34.460,-43.663,-2.040,0.767,-4.374,1.632
285.848,17.113,3.186,20.869,-3.750,1.372,15.986,0.230,-0.170,11.985,-0.220,-0.716,11.463,4.779,13.163,-0.814,-1.102,-3.576,1.101
285.858,40.795,-21.839,13.423,5.568,-15.742,11.072,0.198,-0.144,12.106,-0.150,-0.566,11.573,-51.813,-16.144,-0.682,-0.938,-2.805,0.745
285.868,19.432,-58.583,7.807,-21.354,1.005,13.378,0.145,-0.602,12.155,-0.009,-0.588,11.670,2.287,57.888,-2.837,-0.685,-2.887,0.047
285.879,-8.034,-12.195,9.517,20.391,8.169,10.827,0.206,-0.219,12.176,-0.115,-0.597,11.758,19.495,-56.397,-1.032,-0.973,-2.910,0.561
285.889,-4.982,-40.028,20.259,-2.033,10.964,14.276,0.278,0.036,12.241,0.000,-0.505,11.823,37.265,6.447,0.173,-1.303,-2.451,-0.000
285.900,6.126,-21.961,7.807,10.684,-17.502,12.293,0.606,-0.431,12.151,0.043,-0.370,11.893,-47.083,-26.556,-2.032,-2.857,-1.785,-0.211
285.910,22.850,-74.819,15.254,-13.371,-6.567,8.535,0.050,-0.758,12.034,0.177,-0.430,11.935,-22.499,51.176,-3.608,-0.239,-2.068,-0.849
285.920,1.121,-57.850,10.371,-6.696,-7.702,13.680,-0.085,-0.916,12.099,0.116,-0.502,11.940,-26.838,23.111,-4.334,0.404,-2.409,-0.557
285.931,-11.330,-68.227,10.249,4.282,12.775,10.533,-0.162,-0.566,11.966,0.053,-0.612,11.962,48.353,-14.508,-2.710,0.776,-2.931,-0.253
285.941,2.952,-64.809,-8.183,-6.667,-1.365,16.310,-0.216,-0.422,12.198,0.025,-0.566,11.953,-4.432,22.176,-1.984,1.017,-2.714,-0.120
285.951,-60.281,-59.804,-9.038,6.459,11.345,11.424,-0.374,-0.353,12.162,-0.076,-0.594,12.022,40.863,-21.871,-1.666,1.761,-2.831,0.364
285.963,-17.678,-74.208,-18.437,-2.069,-8.995,0.574,-0.255,-0.429,11.335,-0.109,-0.494,11.951,-76.611,12.935,-2.172,1.289,-2.372,0.522
285.974,-19.631,-48.573,19.038,-6.998,14.147,21.785,-0.469,-0.527,11.328,-0.147,-0.604,11.781,31.744,15.085,-2.664,2.373,-2.939,0.716
285.984,-46.487,-3.650,-11.235,5.669,11.359,8.428,-0.561,-0.348,11.548,-0.276,-0.574,11.767,48.222,-21.851,-1.728,2.782,-2.794,1.346
285.994,-43.801,-24.158,8.540,5.072,8.722,18.084,-0.278,0.078,11.696,-0.266,-0.513,11.721,24.922,-14.185,0.385,1.366,-2.508,1.301
286.005,-36.599,-23.914,-0.859,-2.213,-5.661,11.790,-0.037,-0.078,11.861,-0.235,-0.370,11.745,-25.277,9.608,-0.377,0.180,-1.806,1.146
286.015,-52.835,-6.335,-4.399,8.226,8.392,12.925,0.228,0.197,11.673,-0.196,-0.331,11.758,28.725,-28.108,0.971,-1.121,-1.617,0.958
286.025,-29.030,30.774,5.366,5.647,-3.269,8.406,0.455,0.213,11.848,-0.101,-0.202,11.761,-17.899,-32.067,1.033,-2.201,-0.984,0.494
286.036,-70.780,-3.039,11.958,1.695,17.718,18.142,0.590,0.409,11.733,0.009,-0.165,11.749,44.220,-3.827,1.995,-2.879,-0.805,-0.047
286.046,-15.602,10.266,20.381,17.236,-14.449,4.813,0.831,0.865,11.862,0.079,0.102,11.789,-38.936,-48.561,4.162,-3.999,0.500,-0.387
