R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha,IRelaxR,IRelaxE,DmaxR,DmaxE,DMx,DMy
58,80,47,58,70,47,250,0,0,0,0,0,2147483648,10000000,0.000100,0.003000,50,0,0,0,0,0,0,0,0,0.995,0,0,0,0,0,0
sysTickMs,PIDRefXi,PIDRefYi,PIDSensXi,PIDSensYi,PIDPoutXi,PIDIoutXi,PIDDoutXi,PIDUXi,PIDRefDotPT1Xi,PIDiRelaxWeightX
13620,0,0,0,0,0,0,0,0,0,1024
13625,0,0,0,0,0,0,0,0,0,1024
13630,0,0,0,0,0,0,0,0,0,1024
13635,0,0,0,0,0,0,0,0,0,1024
13640,0,0,0,0,0,0,0,0,0,1024
13645,0,0,0,0,0,0,0,0,0,1024
13650,0,0,0,0,0,0,0,0,0,1024
13655,0,0,0,0,0,0,0,0,0,1024
13660,0,0,0,0,0,0,0,0,0,1024
13665,0,0,0,0,0,0,0,0,0,1024
13670,0,0,0,0,0,0,0,0,0,1024
13675,0,0,0,0,0,0,0,0,0,1024
13680,0,0,0,0,0,0,0,0,0,1024
13685,0,0,0,0,0,0,0,0,0,1024
13690,0,0,0,0,0,0,0,0,0,1024
13695,0,0,0,0,0,0,0,0,0,1024
13700,0,0,0,0,0,0,0,0,0,1024
13705,0,0,0,0,0,0,0,0,0,1024
13710,0,0,0,0,0,0,0,0,0,1024
13715,0,0,0,0,0,0,0,0,0,1024
13720,0,0,0,0,0,0,0,0,0,1024
13725,0,0,0,0,0,0,0,0,0,1024
13730,0,0,0,0,0,0,0,0,0,1024
13735,0,0,0,0,0,0,0,0,0,1024
13740,0,0,0,0,0,0,0,0,0,1024
13745,0,0,0,0,0,0,0,0,0,1024
13750,0,0,0,0,0,0,0,0,0,1024
13755,0,0,0,0,0,0,0,0,0,1024
13760,0,0,0,0,0,0,0,0,0,1024
13765,0,0,0,0,0,0,0,0,0,1024
13770,0,0,0,0,0,0,0,0,0,1024
13775,0,0,0,0,0,0,0,0,0,1024
13780,0,0,0,0,0,0,0,0,0,1024
13785,0,0,0,0,0,0,0,0,0,1024
13790,0,0,0,0,0,0,0,0,0,1024
