R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
48,1,34,40,1,28,200,0,0,0,0,0,2147483648,10000000,10.0,64.0,0.000100,0.003000,50,
sysTickMs,GRawXi,PIDdtick,PIDRefXi,PIDSensXi,PIDPoutXi,PIDIoutXi,PIDDoutXi
267999,-10.925,5250,683008,584704,9216,496,20466
268004,19.348,5250,636928,559104,7296,551,20466
268009,15.930,5250,636928,461824,16416,589,15933
268014,4.089,5250,636928,449536,17568,623,15933
268019,-59.143,5250,636928,406528,21600,665,15933
268024,-132.019,5250,579584,539648,3744,684,21379
268029,-49.133,5250,569344,654336,-7968,697,21379
268034,-16.052,5250,569344,652288,-7776,711,21379
268039,22.644,5250,569344,557056,1152,722,24899
268044,55.115,5250,569344,542720,2496,749,24899
268049,48.645,5250,569344,370688,18624,786,6609
268054,11.780,5250,540672,324608,20256,820,6609
268059,-57.190,5250,527360,356352,16032,858,6609
268065,-61.707,5250,527360,490496,3456,889,4801
268070,-20.691,5250,527360,477184,4704,930,13532
268075,-7.141,5250,518144,451584,6240,978,13532
268080,12.634,5250,518144,363520,14496,1031,3987
268085,3.845,5250,518144,315392,19008,1093,3987
268090,-4.333,5250,518144,287744,21600,1161,3987
268095,-65.613,5250,518144,350208,15744,1231,3347
268100,-55.725,5250,527360,343040,17280,1302,3347
268105,-28.748,5250,527360,378880,13920,1379,4936
268110,-4.211,5250,527360,353280,16320,1463,4936
268115,23.376,5250,527360,301056,21216,1550,4936
268120,30.945,5250,615424,307200,28896,1639,4936
268125,-9.216,5250,615424,230400,36096,1764,-5134
268130,-38.147,5250,615424,232448,35904,1889,-5134
268135,-62.195,5250,683008,310272,34944,2017,-4083
268140,-71.472,5250,683008,371712,29184,2159,-4083
268145,-50.720,5250,707584,409600,27936,2302,-4083
268150,11.291,5250,766976,417792,32736,2449,-4083
268155,11.902,5250,766976,402432,34176,2591,223
268160,11.780,5250,787456,380928,38112,2751,223
268165,-3.113,5250,794624,376832,39168,2906,223
268170,-18.616,5250,794624,390144,37920,3053,8600
268175,-49.500,5250,801792,450560,32928,3189,8600
268180,-42.908,5250,801792,502784,28032,3314,8600
268185,-38.025,5250,801792,543744,24192,3416,11389
268190,-28.748,5250,801792,564224,22272,3519,11389
268195,-24.719,5250,801792,576512,21120,3611,11389
268200,-31.067,5250,801792,580608,20736,3694,13931
268205,-34.363,5250,801792,594944,19392,3768,13931
268210,-48.889,5250,794624,620544,16320,3834,13931
268215,-78.064,5250,794624,711680,7776,3884,18439
268220,-45.959,5250,801792,734208,6336,3928,18439
268225,-36.804,5250,801792,763904,3552,3967,18439
268230,-15.320,5250,801792,736256,6144,4001,25787
268235,-1.404,5250,824320,712704,10464,4036,19327
268240,-11.536,5250,846848,696320,14112,4072,19327
268245,-39.001,5250,846848,686080,15072,4113,19327
268250,-53.284,5250,947200,690176,24096,4169,21569
268255,-72.327,5250,947200,698368,23328,4248,13052
268260,-81.604,5250,947200,758784,17664,4328,13052
268265,-73.303,5250,947200,775168,16128,4407,13052
268270,-63.171,5250,1094656,786432,28896,4491,13052
268275,-40.710,5250,1094656,790528,28512,4612,13052
268280,-38.513,5250,1094656,784384,29088,4746,13052
268285,-29.358,5250,1094656,797696,27840,4878,13052
268290,-38.147,5250,1094656,787456,28800,5007,12294
268295,-30.823,5250,1084416,798720,26784,5130,12294
268300,-37.292,5250,1084416,815104,25248,5245,12294
268305,-29.236,5250,1073152,816128,24096,5353,18697
268310,-44.617,5250,1032192,854016,16704,5439,18697
268315,-45.227,5250,1032192,876544,14592,5520,18697
268320,-48.035,5250,984064,879616,9792,5581,20517
268325,-46.448,5250,984064,886784,9120,5635,20517
268330,-63.293,5250,984064,894976,8352,5688,20517
268335,-45.349,5250,984064,894976,8352,5739,20517
268340,-65.857,5250,739328,890880,-14208,5750,20517
268345,-58.411,5250,739328,871424,-12384,5707,20517
268350,-62.439,5250,739328,873472,-12576,5659,18570
268355,-54.016,5250,600064,859136,-24288,5592,17542
268360,-60.242,5250,600064,845824,-23040,5496,17542
268365,-62.805,5250,584704,824320,-22464,5407,11156
268370,-66.223,5250,545792,778240,-21792,5309,11156
268375,-38.269,5250,545792,758784,-19968,5206,11156
268380,-30.945,5250,500736,739328,-22368,5098,11187
268385,-21.912,5250,500736,745472,-22944,4991,11187
268390,-29.602,5250,500736,768000,-25056,4895,11187
268395,-36.194,5250,500736,771072,-25344,4818,4113
268400,-63.904,5250,416768,727040,-29088,4734,4113
268405,-61.829,5250,416768,695296,-26112,4630,-3582
268410,-71.594,5250,416768,623616,-19392,4535,-3582
268415,-12.268,5250,372736,549888,-16608,4436,-3582
268420,11.169,5250,372736,583680,-19776,4331,-3582
268425,-1.770,5250,358400,640000,-26400,4239,-2945
268430,-24.231,5250,358400,661504,-28416,4153,-2945
268435,-66.223,5250,358400,601088,-22752,4077,-2945
268440,-67.688,5250,285696,542720,-24096,3986,-6108
268445,-41.931,5250,249856,448512,-18624,3885,-6108
268450,-0.183,5250,249856,436224,-17472,3773,-6108
268455,9.583,5250,249856,506880,-24096,3681,-7453
268460,-11.291,5250,249856,548864,-28032,3594,-7453
268465,-50.476,5250,249856,530432,-26304,3517,-7186
268470,-61.096,5250,184320,445440,-24480,3429,-10124
268475,-27.771,5250,184320,343040,-14880,3335,-10124
268480,-9.827,5250,184320,324608,-13152,3245,-10124
268485,18.127,5250,184320,349184,-15456,3165,-11206
268490,-17.517,5250,184320,407552,-20928,3105,-11206
268495,-30.457,5250,184320,381952,-18528,3047,-14025
268500,-50.354,5250,181248,318464,-12864,2995,-12920
268505,-5.066,5250,181248,257024,-7104,2944,-14503
268510,-3.113,5250,181248,263168,-7680,2896,-14503
268515,-2.747,5250,181248,275456,-8832,2857,-14341
268520,-16.296,5250,181248,293888,-10560,2829,-14341
268525,-17.517,5250,181248,259072,-7296,2802,-14341
268530,-22.400,5250,181248,223232,-3936,2777,-14210
268535,-6.531,5250,181248,218112,-3456,2750,-14210
268540,-9.094,5250,181248,238592,-5376,2727,-14210
268545,-7.385,5250,181248,247808,-6240,2708,-14511
268550,-24.231,5250,181248,232448,-4800,2696,-14511
268555,-26.062,5250,181248,209920,-2688,2683,-14152
268560,-7.019,5250,181248,185344,-384,2667,-14152
268565,-1.282,5250,181248,202752,-2016,2651,-14152
268570,6.897,5250,181248,244736,-5952,2639,-14152
268575,-9.094,5250,181248,257024,-7104,2628,-14152
268581,-38.513,5250,181248,220160,-3648,2618,-14152
268586,-20.691,5250,181248,195584,-1344,2604,-13932
268591,0.183,5250,259072,168960,8448,2598,-13932
268596,8.972,5250,259072,209920,4608,2608,-13932
