R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.000000,0.000300,75,250,1,250,1,50,500,0,0
sysTime,GPT1X,aPT1R,aPT2R,aKFRawR,aKFPT10R,aKFPT11R
385.247,0.013,0.334,0.346,0.500,0.499,0.536
385.258,-0.303,0.333,0.345,0.493,0.492,0.536
385.269,-0.262,0.357,0.345,0.478,0.477,0.529
385.280,0.728,0.348,0.346,0.502,0.500,0.532
385.291,0.038,0.360,0.348,0.478,0.477,0.529
385.302,-0.043,0.367,0.350,0.474,0.472,0.526
385.313,0.457,0.371,0.353,0.482,0.480,0.525
385.324,-0.255,0.367,0.356,0.474,0.473,0.527
385.335,-0.519,0.361,0.358,0.465,0.464,0.522
385.346,-0.797,0.369,0.360,0.450,0.448,0.514
385.357,-0.887,0.366,0.360,0.438,0.436,0.502
385.368,0.067,0.378,0.363,0.449,0.447,0.495
385.380,0.476,0.393,0.367,0.465,0.463,0.500
385.390,0.961,0.370,0.369,0.482,0.481,0.506
385.401,0.480,0.354,0.367,0.482,0.480,0.513
385.413,-0.429,0.364,0.366,0.463,0.461,0.512
385.424,-0.214,0.334,0.363,0.460,0.459,0.507
385.435,-0.137,0.335,0.359,0.462,0.461,0.506
385.446,0.694,0.340,0.355,0.494,0.493,0.512
385.457,-0.477,0.347,0.354,0.466,0.465,0.510
385.468,0.304,0.341,0.352,0.478,0.477,0.505
385.479,1.038,0.335,0.350,0.493,0.492,0.509
385.490,-0.630,0.332,0.347,0.453,0.451,0.505
385.501,-0.862,0.321,0.343,0.434,0.433,0.494
385.512,-0.160,0.316,0.340,0.428,0.427,0.482
385.523,0.445,0.338,0.338,0.441,0.440,0.484
385.534,0.328,0.344,0.339,0.445,0.443,0.489
385.545,-0.745,0.338,0.340,0.422,0.421,0.485
385.556,-0.172,0.335,0.339,0.424,0.422,0.478
385.567,-0.506,0.330,0.338,0.411,0.410,0.473
385.578,0.446,0.336,0.338,0.418,0.417,0.469
385.589,-0.970,0.332,0.337,0.386,0.385,0.465
385.600,-0.013,0.330,0.336,0.400,0.399,0.459
385.611,-0.054,0.334,0.336,0.394,0.393,0.456
385.622,-0.121,0.348,0.338,0.398,0.396,0.456
385.633,-0.573,0.343,0.339,0.374,0.373,0.446
385.644,-1.433,0.345,0.338,0.341,0.340,0.432
385.655,-0.179,0.347,0.339,0.363,0.362,0.427
385.666,0.305,0.335,0.339,0.372,0.371,0.424
385.677,-1.499,0.351,0.340,0.323,0.321,0.411
385.688,-2.606,0.354,0.343,0.269,0.268,0.383
385.699,-1.666,0.339,0.343,0.266,0.265,0.362
385.710,-0.727,0.358,0.345,0.271,0.269,0.347
385.721,-0.463,0.367,0.348,0.261,0.260,0.338
385.732,-0.401,0.359,0.350,0.254,0.252,0.329
385.743,0.031,0.370,0.353,0.258,0.256,0.326
385.754,0.461,0.392,0.357,0.276,0.274,0.331
385.765,0.920,0.373,0.361,0.280,0.278,0.337
385.776,-0.388,0.355,0.361,0.245,0.244,0.335
385.787,0.353,0.348,0.358,0.272,0.271,0.340
385.797,0.944,0.341,0.356,0.292,0.291,0.345
385.808,1.874,0.340,0.355,0.324,0.323,0.358
385.818,0.384,0.349,0.354,0.296,0.295,0.366
385.828,-0.049,0.349,0.353,0.288,0.287,0.368
385.838,0.105,0.351,0.353,0.290,0.288,0.367
385.850,0.709,0.338,0.351,0.312,0.311,0.372
385.860,0.958,0.338,0.349,0.333,0.332,0.381
385.870,0.742,0.330,0.348,0.333,0.332,0.388
385.880,0.044,0.327,0.345,0.322,0.321,0.391
385.890,0.873,0.320,0.343,0.347,0.346,0.394
385.900,0.660,0.318,0.340,0.345,0.344,0.398
385.910,-0.337,0.312,0.337,0.320,0.319,0.398
385.920,-0.377,0.312,0.334,0.305,0.304,0.390
385.930,0.730,0.332,0.333,0.339,0.338,0.393
385.940,0.590,0.332,0.333,0.340,0.338,0.397
385.950,0.984,0.309,0.329,0.364,0.363,0.406
385.961,1.030,0.319,0.324,0.379,0.379,0.416
385.971,-0.062,0.321,0.322,0.356,0.355,0.420
385.981,-0.352,0.416,0.326,0.350,0.347,0.418
385.991,0.542,0.385,0.331,0.371,0.369,0.418
386.001,-1.091,0.360,0.329,0.320,0.318,0.412
386.011,-1.991,0.246,0.326,0.269,0.269,0.392
386.021,-1.929,0.080,0.299,0.249,0.253,0.372
386.033,-1.102,0.167,0.268,0.252,0.254,0.352
386.045,-0.893,0.089,0.253,0.232,0.236,0.333
386.057,0.323,0.085,0.222,0.259,0.263,0.329
386.068,0.041,0.007,0.198,0.253,0.259,0.331
386.080,-0.835,0.102,0.183,0.234,0.238,0.325
386.092,-0.083,0.216,0.174,0.253,0.254,0.319
386.104,-0.023,0.238,0.188,0.242,0.243,0.313
386.116,0.778,0.564,0.228,0.274,0.270,0.317
386.127,0.276,0.571,0.286,0.274,0.269,0.325
