R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.000100,0.003000,20,45,5,45,5,50,500,0,0
sysTime,GRawX,GPT1X,aRawR,aPT1R,aKFRawR,aKFPT10R,aKFPT11R
332.950,7.946,2.542,-5.502,0.104,0.682,0.629,0.555
332.962,10.754,4.940,29.530,1.427,0.830,0.717,0.600
332.974,-5.603,4.762,16.164,1.045,0.885,0.792,0.669
332.984,-1.941,1.569,-4.953,0.445,0.796,0.734,0.696
332.996,6.847,0.174,-13.072,0.198,0.756,0.706,0.698
333.008,-14.026,-6.239,-3.524,0.259,0.534,0.486,0.647
333.020,-5.969,-7.186,7.671,0.372,0.423,0.376,0.560
333.032,-9.754,-7.342,-32.776,-1.533,0.258,0.276,0.465
333.042,-21.961,-8.552,27.778,-0.418,0.188,0.167,0.383
333.054,-3.528,-7.476,-0.740,0.061,0.146,0.102,0.286
333.066,5.993,-1.589,3.542,0.913,0.273,0.186,0.239
333.076,10.876,1.340,7.148,1.763,0.397,0.268,0.248
333.086,-2.185,1.363,-0.043,1.017,0.369,0.271,0.264
333.096,-0.842,-0.926,-12.016,0.707,0.294,0.205,0.265
333.108,-19.275,-7.340,-9.843,0.596,0.105,0.015,0.221
333.120,-14.148,-11.565,25.615,1.631,-0.077,-0.216,0.105
333.130,3.063,-7.788,-14.386,1.564,-0.087,-0.214,0.017
333.142,-7.434,-3.582,-21.317,1.018,-0.039,-0.140,-0.025
333.154,-1.086,-1.666,-3.196,1.294,-0.003,-0.100,-0.037
333.166,-13.782,-0.188,11.454,1.633,0.065,-0.041,-0.025
333.179,-28.065,-2.729,-7.757,1.116,0.010,-0.074,-0.018
333.189,-5.115,-7.288,5.923,1.441,-0.145,-0.237,-0.067
333.199,-25.501,-10.976,34.072,1.944,-0.335,-0.435,-0.153
333.209,-20.740,-12.286,-39.193,0.580,-0.511,-0.558,-0.258
333.221,-11.463,-13.970,-35.911,-0.604,-0.743,-0.740,-0.413
333.231,-20.740,-15.444,-5.665,-1.072,-0.959,-0.929,-0.564
333.243,-18.421,-15.013,10.658,-0.766,-1.126,-1.104,-0.750
333.253,-12.683,-11.794,-22.332,-1.516,-1.208,-1.152,-0.882
333.263,6.847,-9.069,-32.141,-2.688,-1.257,-1.171,-0.990
333.273,-1.453,-9.864,19.779,-0.974,-1.278,-1.275,-1.086
333.283,-6.580,-9.905,40.220,-0.083,-1.368,-1.399,-1.187
333.293,-19.764,-11.115,4.203,-0.423,-1.511,-1.533,-1.287
333.305,-14.759,-11.548,41.568,-1.063,-1.652,-1.669,-1.422
333.315,-10.242,-13.055,-10.034,-2.182,-1.884,-1.862,-1.558
333.325,11.852,-7.697,-35.517,-4.087,-1.907,-1.827,-1.669
333.335,5.260,-7.885,-28.826,-3.765,-1.968,-1.912,-1.758
333.345,2.453,-6.338,12.379,-2.773,-1.975,-1.959,-1.838
333.355,5.993,-6.817,32.426,-1.091,-2.011,-2.084,-1.916
333.365,-12.806,-7.131,5.956,-1.402,-2.107,-2.165,-1.981
333.375,-13.416,-7.327,-2.727,-1.489,-2.177,-2.243,-2.050
333.386,-18.177,-8.482,-13.786,-2.156,-2.324,-2.364,-2.131
333.398,7.824,-2.521,17.870,-1.517,-2.193,-2.275,-2.189
