R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
35,1,25,35,1,25,200,0,0,0,0,0,2147483648,10000000,10.0,64.0,0.000100,0.003000,50,
sysTickMs,GRawXi,PIDdtick,PIDRefXi,PIDRefZi,PIDSensXi,PIDSensZi,PIDPoutXi,PIDIoutXi,PIDDoutXi
10735,-24.475,5250,0,32768,-131072,167936,8960,-65,6508
10740,70.374,5250,0,32768,83968,-106496,-5740,-71,6508
10745,-57.922,5250,0,32768,-5120,6144,350,-65,6508
10750,57.312,5250,0,32768,-144384,91136,9870,-69,11079
10755,-50.476,5250,0,32768,186368,-205824,-12740,-66,11079
10760,-14.465,5250,0,32768,-205824,206848,14070,-64,7896
10765,47.913,5250,0,32768,136192,-139264,-9310,-68,7896
10770,-69.641,5250,0,32768,9216,-8192,-630,-63,7896
10775,51.575,5250,0,32768,-151552,151552,10360,-68,-9883
10780,-23.743,5250,0,32768,199680,-270336,-13650,-65,-11365
10785,-52.917,5250,0,32768,-201728,199680,13790,-63,-11365
10790,78.308,5250,0,32768,-37888,88064,2590,-66,7104
10795,-59.265,5250,0,32768,158720,-284672,-10850,-62,7104
10800,-4.089,5250,0,16384,-226304,267264,15470,-61,7104
10805,80.627,5250,0,32768,99328,-1024,-6790,-64,2219
10810,-63.782,5250,0,32768,142336,-235520,-9730,-61,2219
10815,-15.198,5250,0,32768,-155648,402432,10640,-64,2219
10820,53.650,5250,0,32768,52224,107520,-3570,-68,5599
10825,-39.490,5250,0,32768,120832,-415744,-8260,-67,5599
10830,-25.574,5250,0,32768,-89088,195584,6090,-66,5599
10835,58.533,5250,0,32768,-20480,242688,1400,-69,-4298
10840,12.146,5250,0,32768,91136,-324608,-6230,-68,-4298
10845,-35.217,5250,0,32768,-4096,-43008,280,-66,-4298
10850,1.526,5250,0,32768,-102400,347136,7000,-66,-2618
10855,20.325,5250,0,32768,59392,96256,-4060,-69,-2618
10860,-15.808,5250,0,32768,97280,-364544,-6650,-69,-2618
10865,-43.152,5250,0,32768,60416,-35840,-4130,-71,2233
10870,11.169,5250,0,32768,-21504,335872,1470,-76,2233
10875,19.836,5250,0,32768,104448,-41984,-7140,-79,2233
10880,-11.902,5250,0,32768,61440,-319488,-4200,-81,2233
10885,-14.832,5250,0,32768,30720,-126976,-2100,-82,2233
10890,4.822,5250,0,32768,-46080,306176,3150,-83,2233
10895,39.612,5250,0,32768,20480,156672,-1400,-83,-4694
10900,-10.315,5250,0,32768,11264,-228352,-770,-81,-3766
10905,1.770,5250,0,32768,-23552,-280576,1610,-81,-3206
10910,-0.916,5250,0,32768,0,-13312,0,-81,-3206
10915,1.404,5250,0,32768,34816,196608,-2380,-82,-3206
10920,-7.996,5250,0,32768,72704,100352,-4970,-83,-1085
10925,-20.325,5250,0,32768,-2048,-146432,140,-84,-1085
10930,1.648,5250,0,32768,-87040,-228352,5950,-85,-1085
10935,41.809,5250,0,32768,-6144,-52224,420,-85,-1085
10940,17.029,5250,0,32768,33792,77824,-2310,-85,-5655
10945,-24.597,5250,0,32768,48128,167936,-3290,-83,-5655
10950,-32.043,5250,0,32768,0,88064,0,-81,2022
10955,-22.522,5250,0,32768,-101376,-132096,6930,-79,2022
10960,-6.165,5250,0,32768,-157696,-232448,10780,-77,2022
10965,65.369,5250,0,16384,-82944,-139264,5670,-76,-6893
10970,42.541,5250,0,16384,7168,40960,-490,-73,-6893
10975,0.061,5250,0,16384,29696,110592,-2030,-70,-457
10980,-29.480,5250,0,32768,43008,206848,-2940,-67,-457
10985,-43.030,5250,0,32768,-11264,149504,770,-63,-457
10990,-45.471,5250,0,32768,-83968,-9216,5740,-61,-457
10995,-34.485,5250,0,32768,-129024,-184320,8820,-59,1457
11000,-0.671,5250,0,32768,-144384,-251904,9870,-57,1457
11005,35.339,5250,0,32768,-94208,-236544,6440,-55,1457
11010,37.292,5250,0,32768,-87040,-187392,5950,-52,-1190
11015,22.522,5250,0,32768,-62464,-84992,4270,-49,-1190
11020,9.338,5250,0,32768,-46080,13312,3150,-46,-1190
11025,9.583,5250,0,32768,-16384,79872,1120,-44,-1190
11030,14.099,5250,0,32768,39936,90112,-2730,-43,-1190
11035,11.536,5250,0,32768,56320,50176,-3850,-43,-1190
11040,-8.850,5250,0,32768,47104,56320,-3220,-44,642
11045,-13.977,5250,0,32768,66560,46080,-4550,-45,642
11050,-25.452,5250,0,32768,92160,-24576,-6300,-46,642
11055,-21.301,5250,0,32768,128000,-23552,-8750,-49,5240
11060,-48.035,5250,0,32768,104448,-30720,-7140,-52,5240
11065,-70.251,5250,0,32768,135168,-11264,-9240,-57,5694
11070,-80.017,5250,0,32768,147456,-49152,-10080,-63,5694
11075,-86.487,5250,0,32768,165888,-117760,-11340,-71,5694
11080,-81.238,5250,0,32768,95232,-162816,-6510,-80,5694
11085,-96.008,5250,0,32768,140288,-111616,-9590,-90,11344
11090,-85.266,5250,0,32768,84992,-114688,-5810,-99,11344
11095,-75.745,5250,0,32768,62464,-66560,-4270,-106,10928
11100,-59.631,5250,0,32768,6144,-63488,-420,-111,10928
11105,-33.386,5250,0,32768,-93184,-70656,6370,-116,10928
11110,-31.921,5250,0,32768,-32768,-171008,2240,-120,-693
11115,-77.454,5250,0,32768,24576,-175104,-1680,-125,-693
11120,-75.745,5250,0,32768,75776,-159744,-5180,-131,-693
11125,-71.472,5250,0,32768,164864,-160768,-11270,-136,-3648
11131,-80.383,5250,0,32768,166912,-174080,-11410,-139,-3648
11136,-89.050,5250,0,32768,32768,-83968,-2240,-141,-3648
11141,-75.500,5250,0,32768,62464,-96256,-4270,-142,5595
11146,-59.875,5250,0,32768,-44032,-73728,3010,-140,5595
11151,-34.241,5250,0,32768,-174080,-35840,11900,-136,5595
11156,-25.330,5250,0,32768,-180224,30720,12320,-130,-3544
11161,1.404,5250,0,32768,-114688,24576,7840,-126,-3544
11166,-12.146,5250,0,32768,29696,-105472,-2030,-124,-3544
11171,-21.667,5250,0,16384,39936,-239616,-2730,-123,-1272
11176,-15.564,5250,0,16384,38912,-229376,-2660,-123,-1272
11181,15.808,5250,0,16384,0,-235520,0,-121,-1272
11186,18.860,5250,0,32768,-84992,-191488,5810,-118,-5685
11191,35.950,5250,0,32768,-159744,-182272,10920,-111,-5685
11196,54.382,5250,0,32768,-284672,-99328,19460,-100,-13679
