R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
40,1,48,40,1,40,200,0,0,0,0,0,2147483648,10000000,10.0,64.0,0.000100,0.003000,50,
sysTickMs,GRawXi,PIDRefXi,PIDSensXi,PIDPoutXi,PIDIoutXi,PIDDoutXi
171583,-4.761,0,21504,-1680,-457,1168
171588,0.854,0,19456,-1520,-465,722
171593,5.371,0,10240,-800,-471,-2616
171598,-0.854,0,26624,-2080,-481,4616
171603,-6.226,0,18432,-1440,-486,980
171608,4.517,0,21504,-1680,-495,1468
171613,-6.836,0,28672,-2240,-501,7682
171618,3.784,0,10240,-800,-510,-4895
171623,-2.441,0,35840,-2800,-517,10710
171628,-7.568,0,7168,-560,-526,-5683
171633,2.441,0,28672,-2240,-536,2180
171638,-11.230,0,31744,-2480,-543,6970
171643,3.906,0,23552,-1840,-557,-785
171648,-7.202,0,48128,-3760,-565,16047
171653,1.343,0,20480,-1600,-578,-2985
171658,-4.761,0,56320,-4400,-592,15316
171663,-3.540,0,18432,-1440,-603,-5725
171668,6.470,0,34816,-2720,-622,-4826
171673,-9.521,0,50176,-3920,-634,9101
171678,-6.714,0,32768,-2560,-650,-3337
171683,1.709,0,41984,-3280,-668,548
171689,-8.789,0,51200,-4000,-685,5456
171694,-5.005,0,46080,-3600,-704,1235
171699,2.930,0,46080,-3600,-725,-541
171704,4.517,0,55296,-4320,-745,2795
171709,-7.935,0,55296,-4320,-765,2663
171714,0.977,0,47104,-3680,-789,-7466
171719,2.075,0,76800,-6000,-815,5694
171724,1.343,0,54272,-4240,-840,-5241
171729,0.854,0,54272,-4240,-865,-4043
171734,7.202,0,48128,-3760,-887,-5926
171739,4.272,0,37888,-2960,-904,-7536
171744,2.686,0,20480,-1600,-918,-13025
171749,-6.592,0,33792,-2640,-928,-642
171754,-8.789,0,26624,-2080,-936,-788
171759,-7.812,0,46080,-3600,-947,10181
171764,-2.808,0,40960,-3200,-962,5001
171769,-3.662,0,30720,-2400,-974,-582
171774,-0.610,0,19456,-1520,-986,-6416
171779,0.488,0,23552,-1840,-995,-2122
171784,-1.221,0,15360,-1200,-1002,-2878
171789,-2.808,0,7168,-560,-1006,-4967
171794,0.732,0,10240,-800,-1009,-1032
171799,10.620,0,-9216,720,-1010,-10089
171804,3.906,0,-4096,320,-1009,-3949
171809,-6.470,0,6144,-480,-1011,122
171814,4.272,0,24576,-1920,-1016,8161
171819,-4.395,0,27648,-2160,-1025,5748
171824,5.127,0,21504,-1680,-1039,-2318
171829,15.015,0,22528,-1760,-1053,-5055
171834,-5.737,0,50176,-3920,-1065,11028
171839,-2.563,0,28672,-2240,-1075,-351
171844,-0.122,0,-14336,1120,-1086,-27954
171849,14.526,0,-11264,880,-1091,-24621
171854,3.174,0,6144,-480,-1088,-1015
171859,-5.371,0,3072,-240,-1073,11008
171864,-15.991,0,-63488,4960,-1053,-18086
171869,7.568,0,-106496,8320,-1033,-36191
171874,30.151,0,-86016,6720,-1013,-25046
171879,4.517,0,-9216,720,-983,28403
171884,-19.043,0,-25600,2000,-952,24391
171889,-17.822,0,-83968,6560,-925,-14744
171894,-3.052,0,-116736,9120,-908,-42898
171899,30.640,0,-72704,5680,-898,-23945
171904,17.944,0,10240,-800,-887,21597
171909,-13.550,0,49152,-3840,-876,43968
171914,-34.912,0,7168,-560,-866,29984
171919,-17.578,0,-50176,3920,-864,-13659
171924,10.376,0,-53248,4160,-867,-24552
171929,32.837,0,-10240,800,-872,-5210
171934,27.588,0,38912,-3040,-872,27803
171939,-5.493,0,43008,-3360,-865,39531
171944,-20.386,0,35840,-2800,-860,30713
171949,-15.625,0,-15360,1200,-857,805
171954,2.563,0,-49152,3840,-858,-25340
171959,12.573,0,-16384,1280,-862,-9100
171964,15.991,0,24576,-1920,-873,4418
171969,0.000,0,72704,-5680,-887,26137
171974,-10.620,0,88064,-6880,-909,27491
171979,-12.695,0,87040,-6800,-937,20149
171984,-21.606,0,89088,-6960,-970,10123
171989,-2.808,0,84992,-6640,-1009,89
171994,-0.122,0,102400,-8000,-1051,4403
171999,-6.470,0,135168,-10560,-1097,16128
172004,-15.625,0,162816,-12720,-1149,24186
172009,-13.672,0,156672,-12240,-1208,12667
172015,-14.404,0,166912,-13040,-1274,9679
172020,-8.911,0,162816,-12720,-1347,-1666
172025,-18.799,0,176128,-13760,-1425,-4068
172030,7.324,0,199680,-15600,-1513,-6098
172035,10.742,0,232448,-18160,-1605,6663
172040,-7.202,0,281600,-22000,-1700,28128
172045,-11.353,0,296960,-23200,-1799,38383
172050,-37.354,0,285696,-22320,-1892,29080
172055,-47.485,0,266240,-20800,-1983,19902
172060,-24.902,0,225280,-17600,-2071,-4267
172065,-30.640,0,211968,-16560,-2159,-13952
172070,-18.799,0,189440,-14800,-2246,-24011
172075,-18.799,0,162816,-12720,-2331,-33816
172080,3.418,0,142336,-11120,-2413,-41452
172085,14.893,0,158720,-12400,-2493,-32591
172090,19.897,0,175104,-13680,-2570,-18844
172095,6.470,0,209920,-16400,-2642,7265
172100,-8.057,0,226304,-17680,-2714,30084
172105,0.000,0,231424,-18080,-2787,41687
172110,-17.700,0,228352,-17840,-2863,31239
172115,-14.404,0,222208,-17360,-2939,23040
172120,-26.123,0,219136,-17120,-3012,19891
172125,-33.691,0,209920,-16400,-3080,18760
172130,-24.048,0,173056,-13520,-3144,1167
172135,-32.959,0,144384,-11280,-3201,-7260
172140,-20.142,0,116736,-9120,-3260,-24744
172145,-20.752,0,101376,-7920,-3317,-33040
172150,-9.155,0,99328,-7760,-3375,-31055
172155,1.221,0,117760,-9200,-3435,-22833
172160,0.610,0,146432,-11440,-3497,-8429
172165,15.747,0,169984,-13280,-3566,-3063
172170,-3.418,0,207872,-16240,-3640,14592
172175,5.371,0,221184,-17280,-3722,16321
172180,-8.057,0,227328,-17760,-3804,15612
172185,-1.709,0,218112,-17040,-3883,16479
172190,-11.108,0,219136,-17120,-3959,17545
172195,-12.085,0,225280,-17600,-4034,22460
172200,-16.968,0,212992,-16640,-4104,17577
172205,-30.151,0,222208,-17360,-4174,23763
172210,-36.133,0,193536,-15120,-4243,9688
172215,-24.170,0,154624,-12080,-4309,-10404
172220,-29.053,0,133120,-10400,-4371,-17107
172225,-6.714,0,82944,-6480,-4425,-41829
172230,-4.028,0,59392,-4640,-4468,-47697
172235,1.343,0,30720,-2400,-4499,-45325
172240,10.742,0,1024,-80,-4516,-44784
172245,14.160,0,-21504,1680,-4522,-40072
172250,4.639,0,-30720,2400,-4518,-28255
172255,13.794,0,-57344,4480,-4507,-31888
172260,13.550,0,-67584,5280,-4489,-25282
172265,26.245,0,-93184,7280,-4464,-27835
172270,29.175,0,-102400,8000,-4429,-21387
172275,26.978,0,-116736,9120,-4385,-12018
172280,18.433,0,-106496,8320,-4337,-354
172285,6.104,0,-102400,8000,-4285,8491
172291,-5.737,0,-113664,8880,-4230,15315
172296,-2.075,0,-144384,11280,-4172,334
172301,2.319,0,-169984,13280,-4110,-10580
172306,0.610,0,-189440,14800,-4045,-18253
172311,15.015,0,-197632,15440,-3980,-22455
172316,13.916,0,-189440,14800,-3916,-14590
172321,17.334,0,-176128,13760,-3854,-9623
172326,32.104,0,-164864,12880,-3793,-3566
172331,15.869,0,-132096,10320,-3731,11934
172336,11.108,0,-121856,9520,-3669,17753
172341,-1.831,0,-125952,9840,-3602,20722
172346,0.977,0,-150528,11760,-3530,15400
172351,-8.789,0,-177152,13840,-3451,13510
172356,1.831,0,-191488,14960,-3366,9256
172361,-4.395,0,-219136,17120,-3277,-426
172366,-2.563,0,-248832,19440,-3180,-8619
172371,9.155,0,-281600,22000,-3076,-17322
172376,6.104,0,-302080,23600,-2966,-21513
172381,8.301,0,-323584,25280,-2850,-24394
172386,14.893,0,-337920,26400,-2731,-25818
172391,17.212,0,-337920,26400,-2612,-26250
172396,25.879,0,-326656,25520,-2497,-18200
172401,30.640,0,-315392,24640,-2389,-19151
172406,43.213,0,-292864,22880,-2285,-13152
172411,36.865,0,-253952,19840,-2189,-2774
172416,30.151,0,-214016,16720,-2097,14822
172421,28.931,0,-197632,15440,-2006,21673
172426,14.160,0,-194560,15200,-1913,30976
172431,12.085,0,-199680,15600,-1815,31515
172436,2.930,0,-210944,16480,-1716,22609
172441,-1.953,-4096,-232448,17840,-1616,13749
172446,-2.319,-7168,-257024,19520,-1515,1524
172451,8.057,-7168,-263168,20000,-1416,251
172456,15.259,-7168,-266240,20240,-1320,-3940
172461,15.503,-13312,-254976,18880,-1226,-171
172466,13.916,-13312,-245760,18160,-1133,4766
172471,11.230,-16384,-233472,16960,-1041,12205
172476,11.108,-13312,-226304,16640,-949,14356
172481,-6.592,-13312,-218112,16000,-856,20219
172486,-4.028,-13312,-240640,17760,-763,7045
172491,-0.488,-13312,-270336,20080,-671,-9059
172496,14.404,-13312,-302080,22560,-577,-28015
172501,29.663,-13312,-313344,23440,-483,-34286
172506,37.354,-13312,-312320,23360,-387,-34155
172511,39.307,-13312,-281600,20960,-290,-13948
172516,39.795,-4096,-245760,18880,-192,10658
172521,31.372,-4096,-225280,17280,-94,24164
172526,21.606,-4096,-204800,15680,1,35208
172531,2.197,0,-191488,14960,92,35270
172536,-5.371,0,-214016,16720,179,13967
172541,5.127,0,-239616,18720,264,-7374
172546,27.832,0,-258048,20160,346,-24432
172551,28.931,0,-236544,18480,425,-16900
172556,42.603,0,-212992,16640,503,-2906
172561,41.870,0,-203776,15920,580,162
172567,28.442,0,-166912,13040,658,18192
172572,15.991,0,-149504,11680,734,26620
172577,-11.353,0,-132096,10320,807,36004
172582,-4.395,0,-154624,12080,874,17494
172587,2.930,0,-158720,12400,932,5996
172592,9.766,0,-145408,11360,982,-7321
172597,14.038,0,-104448,8160,1021,6078
172602,17.090,0,-58368,4560,1048,21108
172607,14.038,0,-1024,80,1063,34449
172612,7.324,0,50176,-3920,1065,46192
172617,-19.043,0,93184,-7280,1057,56399
172622,-17.578,0,101376,-7920,1037,44508
172627,-33.691,0,116736,-9120,1007,41166
172632,-31.616,0,110592,-8640,969,23294
172637,-27.222,0,114688,-8960,922,6484
172642,-34.058,0,153600,-12000,868,16391
172647,-27.954,0,145408,-11360,808,5457
172652,-14.648,0,130048,-10160,742,-9972
172657,-11.230,0,117760,-9200,673,-39525
172662,10.864,0,115712,-9040,602,-37627
172667,14.893,0,130048,-10160,532,-28707
172672,12.695,0,135168,-10560,462,-23078
172677,20.386,0,165888,-12960,390,-9823
172682,13.916,0,207872,-16240,318,11873
172687,-0.122,0,244736,-19120,244,29138
172692,-12.085,0,261120,-20400,166,37062
172697,-36.621,0,269312,-21040,85,42079
172702,-31.494,0,253952,-19840,-1,28465
172707,-29.541,0,245760,-19200,-86,22280
172712,-33.813,0,247808,-19360,-172,16890
172717,-31.372,0,231424,-18080,-257,14476
172722,-28.931,0,208896,-16320,-339,2029
172727,-29.419,0,181248,-14160,-418,-9993
172732,-17.822,0,158720,-12400,-493,-21279
172737,-11.230,0,138240,-10800,-568,-31172
172742,-16.479,0,125952,-9840,-644,-43087
172747,9.277,0,137216,-10720,-722,-36042
172752,9.644,0,159744,-12480,-801,-23812
172758,9.766,0,194560,-15200,-881,-6241
172763,5.127,0,221184,-17280,-965,5169
172768,-1.465,0,238592,-18640,-1053,12234
172773,-4.883,0,266240,-20800,-1148,21632
172778,-2.808,0,259072,-20240,-1246,15574
172783,5.005,0,260096,-20320,-1349,7412
172788,2.686,0,262144,-20480,-1450,4155
172793,2.930,-4096,269312,-21360,-1549,8875
172798,-24.292,-7168,276480,-22160,-1644,19324
172803,-24.414,-7168,258048,-20720,-1736,13901
172808,-24.292,-7168,224256,-18080,-1825,-1345
172813,-17.578,-4096,202752,-16160,-1909,-7594
172818,-23.560,-4096,197632,-15760,-1986,-3603
172823,-7.446,-4096,188416,-15040,-2060,-2819
172828,-7.812,0,199680,-15600,-2129,7883
172833,-31.250,0,216064,-16880,-2197,20498
172838,-21.362,0,219136,-17120,-2270,25180
172843,-43.579,0,233472,-18240,-2347,26242
172848,-29.541,0,221184,-17280,-2436,10357
172853,-25.635,0,251904,-19680,-2535,16626
172858,-22.339,0,263168,-20560,-2642,6389
172863,-16.235,0,293888,-22960,-2758,9239
172868,-21.851,0,320512,-25040,-2878,15322
172873,-36.499,0,340992,-26640,-3005,20069
172878,-34.546,0,348160,-27200,-3139,15247
172883,-29.663,0,344064,-26880,-3281,4551
172888,-15.259,0,335872,-26240,-3429,-10466
172893,-19.409,0,346112,-27040,-3575,-9773
172898,-10.498,0,350208,-27360,-3717,-13284
172903,-25.024,0,345088,-26960,-3854,-6990
172908,-31.128,0,340992,-26640,-3984,-2469
172913,-35.767,0,317440,-24800,-4108,-6279
172918,-27.588,0,265216,-20720,-4223,-26781
172923,-23.315,0,224256,-17520,-4329,-38546
172928,1.343,0,187392,-14640,-4424,-48204
172933,-1.831,0,169984,-13280,-4507,-44959
172938,-0.488,0,147456,-11520,-4579,-38234
172943,1.465,0,108544,-8480,-4639,-40894
172948,1.343,0,81920,-6400,-4689,-42177
172953,10.498,0,46080,-3600,-4729,-48180
172958,15.503,0,31744,-2480,-4760,-48112
172963,26.123,0,24576,-1920,-4782,-38722
172968,25.391,0,31744,-2480,-4794,-18160
172973,11.719,0,44032,-3440,-4796,11358
172978,18.311,0,36864,-2880,-4791,24693
172983,6.348,0,14336,-1120,-4781,20900
172988,-11.353,0,8192,-640,-4769,19945
172993,-12.817,0,-15360,1200,-4754,10792
172999,-11.841,0,-38912,3040,-4735,3120
173004,-0.610,0,-60416,4720,-4712,-4578
173009,-1.343,0,-76800,6000,-4686,-8455
173014,-3.784,0,-84992,6640,-4656,-7721
173019,-6.714,0,-96256,7520,-4623,-13014
173024,2.197,0,-87040,6800,-4592,-9902
173029,5.859,0,-82944,6480,-4566,-8043
173034,10.986,0,-61440,4800,-4546,212
173039,16.846,0,-34816,2720,-4534,5601
173044,13.428,0,12288,-960,-4529,22980
173049,6.226,0,57344,-4480,-4531,44473
173054,-3.784,0,93184,-7280,-4541,54669
173059,-22.583,0,118784,-9280,-4558,55219
173064,-40.771,-10240,125952,-10640,-4583,52385
173069,-31.006,-10240,109568,-9360,-4620,30844
173074,-22.705,-10240,96256,-8320,-4663,9572
173079,-20.752,-10240,86016,-7520,-4711,-3703
173084,-9.766,-10240,84992,-7440,-4762,-23307
173089,-6.470,-19456,87040,-8320,-4814,-22090
173094,-19.653,-19456,78848,-7680,-4868,-26588
173099,-1.587,-31744,76800,-8480,-4926,-29036
173104,-4.883,-31744,71680,-8080,-4984,-29108
173109,14.404,-31744,64512,-7520,-5043,-32488
173114,14.648,-31744,76800,-8480,-5103,-25633
173119,22.827,-31744,100352,-10320,-5161,-14270
173124,21.973,-31744,135168,-13040,-5219,7034
173129,1.465,-31744,156672,-14720,-5275,20569
173134,-6.714,-53248,162816,-16880,-5334,33089
173139,-25.391,-53248,146432,-15600,-5395,37910
173144,-14.526,-47104,133120,-14080,-5454,26854
173149,-24.414,-47104,129024,-13760,-5511,19420
173154,-23.804,-47104,111616,-12400,-5567,10671
173159,-15.015,-47104,102400,-11680,-5618,8549
173164,-18.799,-7168,84992,-7200,-5661,2723
173169,-17.822,-7168,58368,-5120,-5687,-5287
173174,-20.508,-4096,38912,-3360,-5711,-13023
173179,-1.709,0,13312,-1040,-5733,-30308
173184,8.179,0,2048,-160,-5752,-34562
173189,8.545,0,-1024,80,-5766,-24770
173194,13.550,0,15360,-1200,-5778,-12691
