R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha,iRelaxX,IRelaxY,DmaxR,DmaxE,DMx,DMy
58,80,47,58,80,47,250,0,0,0,100,0,500000,3000000,10,1,1000,0,0,0,0,0,0,0,0,0.995,1024,1024,0,0,0,0
sysTickMs,PIDRefXi,PIDSensXi,PIDPoutXi,PIDIoutXi,PIDDoutXi,PIDFFoutXi
89416,27648,-55296,18792,2122,21273,2444
89426,27648,-97280,28304,3165,2914,656
89436,125952,-227328,80040,4978,-75125,8795
89446,199680,-173056,84448,7144,-22640,13836
89456,211968,-49152,59160,9771,59312,5276
89466,211968,-34816,55912,12173,43144,1339
89476,285696,35840,56608,14615,67310,5047
89486,337920,-6144,77952,17055,-1171,7232
89496,352256,-3072,74240,19516,-7126,3024
89506,387072,120832,60320,21564,30189,6649
89516,398336,98304,67976,23810,-8102,2975
89526,398336,171008,51504,25602,15100,802
89536,423936,183296,54520,27404,-3145,1718
89546,419840,339968,18096,28856,80081,-46
89556,416768,392192,5568,29800,80586,-287
89566,401408,311296,20416,30738,8353,-2506
89576,379904,269312,25056,31440,-65830,-2961
89586,379904,144384,53360,32175,-107368,-828
89596,337920,261120,17400,32420,-7746,-2576
89606,337920,317440,4640,32865,31142,-730
89616,337920,287744,11368,33301,3878,-205
89626,337920,279552,13224,33810,-21722,-74
89636,132096,222208,-20416,31852,-38716,-22001
89646,132096,194560,-14152,27665,-47758,-5692
89656,3072,243712,-54520,20832,8961,-10590
89666,3072,125952,-27840,15737,-42984,-2930
89676,-4096,-48128,9976,13425,-102767,-1288
89686,0,53248,-12064,12394,28376,216
89696,0,-44032,9976,12676,3281,42
89706,0,-125952,28536,13631,-19002,0
89716,0,-191488,43384,14967,-55618,0
89726,0,-154624,35032,16344,11968,0
89736,0,-187392,42456,17607,-25566,0
89746,0,-254976,57768,18839,-77970,0
89756,0,-218112,49416,20064,-50925,0
89766,0,-150528,34104,21268,4922,0
89776,-4096,-139264,30624,22537,12323,-568
89786,-4096,-200704,44544,24036,-16271,-165
89796,-4096,-132096,29000,25514,45278,-65
89806,-4096,-124928,27376,27056,50729,-46
89816,-4096,-154624,34104,28432,13287,-46
89826,-4096,-265216,59160,29836,-65739,-46
89836,-4096,-247808,55216,31290,-49123,-46
89846,-4096,-233472,51968,32797,-27838,-46
89856,-4096,-155648,34336,34255,20333,-46
89866,0,-212992,48256,35603,-33896,488
89876,0,-131072,29696,36886,22077,119
89886,0,-82944,18792,38154,56397,15
89896,0,-33792,7656,39246,82800,0
89906,-4096,-125952,27608,40475,15249,-394
89916,-4096,-173056,38280,41655,-17511,-126
89926,-4096,-204800,45472,42907,-37396,-46
89936,-4096,-93184,20184,43881,28904,-46
89946,-4096,-129024,28304,44698,-11613,-46
89956,-4096,-114688,25056,45375,-19404,-46
89966,-4096,-202752,45008,45986,-86691,-46
89976,-62464,-49152,-3016,46173,30625,-7639
89986,-173056,-86016,-19720,45384,9489,-15415
89996,-273408,-70656,-45936,41556,30189,-13666
90006,-649216,-236544,-93496,35764,-69973,-66544
90016,-930816,-282624,-146856,19363,-55021,-54786
90026,-930816,-346112,-132472,120,-17350,-14148
90036,-1909760,-722944,-268888,-7045,-157811,-89737
90046,-2639872,-1204224,-325264,-14705,-271937,-106260
90056,-2639872,-1538048,-249632,-23932,-240084,-29245
90066,-4165632,-2060288,-476992,-33709,-266923,-144727
90076,-4165632,-2690048,-334312,-44642,-326499,-39826
90086,-4589568,-3377152,-274688,-54346,-362357,-45228
90096,-4841472,-4118528,-163792,-61954,-458147,-26719
90106,-5328896,-4461568,-196504,-67753,-286200,-66541
90116,-5272576,-4757504,-116696,-72667,-175000,-12534
90126,-5272576,-5135360,-31088,-74795,-190238,-3251
90136,-4589568,-5390336,181424,-64262,-147518,76824
90146,-4491264,-5385216,202536,-34324,-3294,27896
90156,-3820544,-5267456,327816,3076,82904,68106
90166,-2698240,-4980736,517128,12862,175171,146453
90176,-2243584,-4567040,526408,26768,221104,72879
90186,-1246208,-3897344,600648,40426,369126,165731
90196,-1246208,-3261440,456576,55118,370583,45571
90206,-1246208,-2571264,300208,68063,394875,11734
90216,-556032,-2155520,362384,79122,279177,41833
90226,-349184,-1689600,303688,89521,231741,32843
90236,-349184,-1309696,217616,98085,190948,8447
90246,-47104,-1021952,220864,104155,135193,46817
90256,-47104,-733184,155440,110131,128848,12057
90266,0,-509952,115536,114623,121929,6942
90276,0,-440320,99760,118065,27848,1766
90286,0,-249856,56608,120317,54160,439
90296,0,-201728,45704,121677,5461,106
90306,-4096,-156672,34568,122376,-21079,-205
90316,-7168,-67584,13688,122169,-7964,-379
90326,-7168,-28672,4872,121359,-18830,-123
90336,-19456,-43008,5336,119619,-51625,-1218
90346,-19456,26624,-10440,117525,-11590,-348
90356,-176128,79872,-58000,111611,8158,-17270
90366,-420864,148480,-128992,99944,35215,-38273
90376,-621568,131072,-170520,81000,37728,-30625
90386,-1298432,22528,-299280,59869,12587,-137015
90396,-1298432,-232448,-241512,24207,-58314,-35349
90406,-1298432,-552960,-168896,-1490,-159819,-9742
90417,-1298432,-897024,-90944,-6490,-208150,-2527
90427,-5500928,-1150976,-985536,-8341,-180175,-544877
90437,-5500928,-1590272,-886008,-17575,-241025,-149891
90447,-6373376,-2680832,-836592,-37144,-505296,-105298
90457,-6373376,-3896320,-561208,-58300,-658632,-27167
90467,-6439936,-5096448,-304384,-71798,-630496,-13733
90477,-6439936,-5948416,-111360,-78435,-469232,-3559
90487,-6439936,-6433792,-1392,-79700,-293670,-995
90497,-6176768,-6652928,107880,-69003,-136812,22866
90507,-6176768,-6677504,113448,-51342,-18062,5877
90517,-6176768,-6695936,117624,-35163,-12359,1602
90527,-2500608,-6542336,915704,3844,59679,323602
90537,-1717248,-5991424,968368,16358,291707,138873
90547,-774144,-4971520,950968,38914,479363,150289
90557,-510976,-3596288,699016,60804,656760,61877
90567,-13312,-2414592,544040,78352,653318,64978
90577,0,-1384448,313664,91879,558779,18356
90587,0,-662528,150104,99311,439798,5032
90597,-4096,-315392,70528,102798,220094,1019
90607,-4096,35840,-9048,103680,201413,244
90617,-4096,60416,-14616,101590,57786,48
90627,0,161792,-36656,97392,53207,686
90637,0,119808,-27144,92369,-12336,158
90647,0,169984,-38512,86396,-5990,30
90657,0,205824,-46632,80072,11256,0
90667,0,167936,-38048,73334,-31510,0
90677,0,193536,-43848,66691,-10305,0
90687,0,212992,-48256,60532,13769,0
90697,0,155648,-35264,54963,-20483,0
90707,0,90112,-20416,49614,-58670,0
90717,337920,65536,61712,50988,-55618,18893
90727,387072,141312,55680,52730,2937,10775
90737,387072,229376,35728,54342,36087,2758
90747,701440,394240,59160,55579,123535,47012
90757,701440,552960,33640,57706,128745,12911
90767,2079744,673792,318536,63072,120735,109817
90777,2079744,1034240,236872,71742,238040,30191
90787,4301824,1417216,653544,77965,252865,244866
90797,5160960,2140160,684400,90343,394072,125366
90807,5617664,3127296,545200,107422,583197,95394
90817,5558272,4112384,327584,120719,557792,19882
90827,3988480,4907008,-208104,126785,438215,-294303
90837,3988480,5355520,-309720,88538,278592,-80967
90847,3007488,5204992,-497872,28082,-4372,-119031
90857,2014208,4567040,-578376,-12787,-274611,-98169
90867,1258496,3567616,-523160,-26455,-512480,-131409
90877,855040,2762752,-432216,-39493,-461567,-74259
90887,394240,2104320,-387440,-50634,-349574,-66422
90897,394240,1260544,-196272,-59844,-427659,-17145
90907,228352,931840,-173304,-66111,-199773,-19999
90917,172032,709632,-121800,-70583,-139474,-9595
90927,116736,451584,-75864,-73772,-133531,-9659
90937,119808,324608,-46400,-75928,-97294,-2369
90947,138240,208896,-16008,-77172,-82159,1379
90957,138240,69632,16704,-77103,-99875,341
90967,150528,94208,12760,-75226,-12175,1235
90977,150528,113664,8352,-71860,39713,302
90987,150528,97280,12064,-67802,48457,67
90997,150528,-32768,41528,-63040,-37121,0
91007,138240,-94208,52664,-58176,-90730,-2198
91017,138240,-15360,34800,-53035,390,-620
91027,138240,20480,26680,-48084,25278,-181
91037,141312,-48128,42920,-43316,-27482,143
91047,141312,103424,8584,-39687,63328,24
91057,172032,179200,-1624,-37248,72817,2691
91067,202752,82944,27144,-34500,-16776,6216
91077,202752,63488,31552,-31102,-31223,1586
91087,202752,116736,19488,-28699,-1332,424
91097,683008,131072,125048,-13474,-8962,30667
91107,7292928,265216,1592216,7391,44682,810348
91117,7292928,902144,1447912,13572,305936,222879
91127,16284672,2718720,3073536,17320,863498,629971
91137,16284672,5691392,2400040,39719,1463827,162432
91147,16284672,9093120,1629336,92567,1794823,44659
91157,16284672,12369920,886936,133401,1754915,-4859
91167,16284672,14454784,414584,154809,1289344,-1270
91177,16436224,15556608,199288,164849,732550,12954
91187,12379136,16046080,-830792,146324,386281,-634293
91197,10695680,15716352,-1137496,14318,-70982,-355182
91207,10695680,14713856,-910368,-18767,-466948,-97712
91217,4840448,12991488,-1846720,-21401,-876030,-374726
91227,4840448,11025408,-1401280,-48296,-1110846,-103089
91237,1232896,8758272,-1704968,-62173,-1245994,-323951
91247,665600,6817792,-1393856,-84008,-1191639,-122989
91257,311296,4910080,-1041912,-117952,-1073393,-72056
91267,243712,3404800,-716184,-145610,-850912,-23819
91277,9216,2264064,-510864,-164648,-666985,-28949
91287,9216,1225728,-275616,-178331,-615636,-7483
91297,0,1005568,-227824,-187284,-279706,-2836
91307,0,600064,-135952,-193545,-219062,-748
91317,0,133120,-30160,-196462,-272419,-226
91327,0,-260096,58928,-194738,-266602,-80
91337,-44032,-364544,72616,-186196,-102698,-2500
91347,-241664,-601088,81432,-172321,-81860,-23200
91357,-388096,-864256,107880,-158723,-128562,-17316
91367,-570368,-963584,89088,-149509,-111293,-15659
91377,-1546240,-936960,-138040,-146017,-49846,-108182
91387,-1546240,-1119232,-96744,-149842,-102125,-27918
91397,-2583552,-1281024,-295104,-156960,-77993,-65745
91407,-2583552,-2197504,-87464,-163487,-441716,-16971
91417,-4165632,-2326528,-416672,-169710,-156537,-126938
91427,-6576128,-3418112,-715488,-176618,-510024,-387909
91437,-6999040,-3964928,-687416,-187292,-397068,-145176
91447,-8247296,-5017600,-731728,-199806,-471412,-136405
91457,-8763392,-6583296,-493928,-215230,-708867,-62266
91468,-8763392,-8040448,-163792,-226042,-792058,-16071
91478,-8588288,-9059328,106720,-226044,-718460,9094
91488,-8588288,-9011200,95816,-210266,-126761,2331
91498,-8588288,-9407488,185600,-187198,-172762,585
91508,-8588288,-9135104,123888,-166828,68503,146
91518,-4491264,-9145344,1054440,-12250,32404,214962
91528,-2149376,-8233984,1378544,12003,450493,275039
91538,-690176,-6550528,1327736,36735,825276,353955
91548,-690176,-4666368,900856,57073,958370,91259
91558,-690176,-2944000,510632,77218,922191,25085
91568,-123904,-1801216,380016,90682,628579,44909
91578,0,-1225728,277704,100441,319177,27606
91588,0,-897024,203232,107998,203146,7577
91598,0,-763904,173072,114802,114206,1934
91608,0,-532480,120640,120309,89467,485
91618,0,-488448,110664,123982,21549,119
91628,0,-19456,4408,125793,200495,15
91638,0,237568,-53824,123673,205670,0
91648,0,-4096,928,118294,-92887,0
91658,0,254976,-57768,111685,75342,0
91668,285696,261120,5568,107324,36535,36990
91678,285696,150528,30624,107273,-68011,9521
91688,824320,353280,106720,108949,43718,66891
91698,824320,713728,25056,111468,197397,17233
91708,1220608,680960,122264,114125,-1917,39266
91718,1350656,1128448,50344,116804,199945,19064
91728,1594368,1367040,51504,118593,195906,34487
91738,1697792,1533952,37120,120606,132118,17968
91748,1697792,1558528,31552,121053,44716,4928
91758,1697792,2000896,-68672,117102,224271,1251
91768,2291712,2015232,62640,116645,124786,52542
91778,2446336,2057216,88160,119129,92829,39456
91788,2472960,2259968,48256,121657,100827,13186
91798,2472960,2496512,-5336,123084,209113,3607
91808,2527232,2446336,18328,122359,32174,4156
91818,2446336,2775040,-74472,117517,157856,-8695
91828,2393088,2819072,-96512,106437,91510,-6647
91838,1888256,2586624,-158224,92950,-84568,-81070
91848,1697792,2589696,-202072,66709,-53231,-45441
91858,1697792,2521088,-186528,39889,-25853,-11735
91868,1697792,1886208,-42688,21379,-374061,-3245
91878,500736,2204672,-386048,-2483,14480,-137101
91888,455680,1560576,-250328,-11466,-274932,-39084
91898,305152,1227776,-209032,-19011,-279729,-34424
91908,305152,809984,-114376,-24818,-301920,-8893
91918,162816,603136,-99760,-28772,-209791,-14194
91928,95232,611328,-116928,-31967,-40907,-14301
91938,61440,289792,-51736,-34170,-124259,-7313
91948,52224,356352,-68904,-36197,-459,-2793
91958,52224,171008,-26912,-37412,-60736,-428
91968,52224,-7168,13456,-37550,-119715,-129
91978,110592,200704,-20416,-35613,73953,4461
91988,110592,-214016,73544,-31027,-168838,1135
