R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,Dz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
175,25,1900,200,25,2100,100,10,0,0,0,0,7,75,10,10.0,16.0,0.001,0.003,0.03
sysTime,GPT1X,GPT1Z,aPT1R,aPT1P,aKFRawR,aKFRawP,aKFPT10R,aKFPT10P,aKFPT20R,aKFPT20P,aKFPT21R,aKFPT21P
476.206,0.032,1.551,-0.304,1.268,-0.264,1.899,-0.215,1.611,-0.231,1.500,-0.157,1.429
476.217,0.437,0.885,-0.290,1.284,-0.245,1.883,-0.199,1.594,-0.214,1.482,-0.154,1.438
476.228,-0.466,0.274,-0.288,1.238,-0.273,1.868,-0.227,1.590,-0.241,1.480,-0.157,1.444
476.239,-0.566,-1.122,-0.289,1.239,-0.286,1.820,-0.240,1.544,-0.253,1.436,-0.164,1.438
476.250,-0.331,0.208,-0.266,1.213,-0.297,1.815,-0.255,1.547,-0.269,1.441,-0.175,1.424
476.261,-1.108,0.469,-0.267,1.234,-0.312,1.816,-0.270,1.546,-0.284,1.442,-0.181,1.425
476.272,-0.470,0.125,-0.279,1.229,-0.304,1.809,-0.259,1.542,-0.274,1.439,-0.193,1.425
476.283,-0.266,-0.129,-0.319,1.235,-0.320,1.806,-0.268,1.540,-0.281,1.439,-0.199,1.424
476.294,-0.655,-0.854,-0.350,1.340,-0.323,1.813,-0.264,1.529,-0.277,1.427,-0.201,1.418
476.305,-0.139,-0.684,-0.305,1.234,-0.295,1.792,-0.247,1.534,-0.257,1.430,-0.205,1.410
476.316,-0.353,-0.076,-0.303,1.286,-0.311,1.814,-0.263,1.549,-0.273,1.447,-0.212,1.404
476.327,-1.086,0.160,-0.610,1.401,-0.419,1.842,-0.309,1.556,-0.309,1.450,-0.224,1.404
476.338,-0.526,-0.645,-0.093,1.244,-0.315,1.776,-0.310,1.527,-0.317,1.425,-0.238,1.401
476.349,-0.982,-0.312,-0.749,1.499,-0.474,1.836,-0.331,1.536,-0.332,1.431,-0.248,1.396
476.360,0.557,-0.156,-0.231,1.178,-0.338,1.769,-0.302,1.541,-0.294,1.440,-0.253,1.394
476.371,-0.718,-0.070,-0.421,1.277,-0.410,1.784,-0.332,1.537,-0.331,1.440,-0.258,1.392
476.382,1.096,1.018,-0.513,1.420,-0.381,1.822,-0.285,1.550,-0.277,1.454,-0.258,1.391
476.393,0.053,-0.182,-0.308,1.455,-0.348,1.801,-0.295,1.528,-0.291,1.426,-0.253,1.395
476.404,-2.011,-0.643,-0.506,1.398,-0.467,1.767,-0.374,1.511,-0.367,1.406,-0.272,1.390
476.415,-0.153,-0.235,-0.469,1.138,-0.426,1.725,-0.343,1.527,-0.331,1.430,-0.287,1.389
476.426,0.020,0.953,-0.474,1.317,-0.437,1.775,-0.358,1.545,-0.343,1.454,-0.296,1.390
476.437,0.046,0.831,-0.415,1.182,-0.418,1.722,-0.354,1.528,-0.341,1.446,-0.300,1.395
476.448,0.032,0.039,-0.540,1.241,-0.444,1.706,-0.356,1.509,-0.344,1.428,-0.305,1.397
476.459,-0.284,0.267,-0.818,1.311,-0.533,1.730,-0.385,1.516,-0.361,1.431,-0.313,1.397
476.470,0.971,0.756,-0.686,1.288,-0.472,1.720,-0.357,1.514,-0.323,1.430,-0.317,1.397
476.481,0.138,0.026,-0.785,1.154,-0.531,1.656,-0.399,1.482,-0.353,1.407,-0.325,1.396
476.492,0.058,0.240,-0.995,1.121,-0.593,1.639,-0.422,1.475,-0.365,1.409,-0.339,1.390
476.503,-0.234,-0.021,-0.727,0.875,-0.551,1.557,-0.444,1.450,-0.381,1.392,-0.356,1.384
476.514,-0.559,-0.061,-0.873,0.709,-0.615,1.491,-0.482,1.414,-0.420,1.369,-0.381,1.372
476.525,-0.742,-0.003,-0.731,0.948,-0.586,1.523,-0.485,1.405,-0.426,1.360,-0.400,1.361
476.536,-0.574,-0.892,-0.669,1.125,-0.568,1.508,-0.484,1.354,-0.428,1.311,-0.420,1.343
476.547,-0.759,-1.507,-0.297,1.237,-0.496,1.514,-0.493,1.344,-0.450,1.296,-0.440,1.324
476.558,-0.488,-1.123,-0.509,1.760,-0.536,1.637,-0.489,1.361,-0.457,1.292,-0.457,1.307
476.569,0.459,0.548,-0.367,1.963,-0.479,1.727,-0.466,1.416,-0.449,1.328,-0.466,1.304
476.579,0.771,0.669,-0.264,1.960,-0.438,1.758,-0.447,1.457,-0.442,1.345,-0.463,1.319
476.591,0.310,0.906,-0.628,1.927,-0.528,1.786,-0.461,1.501,-0.455,1.377,-0.461,1.342
476.601,0.644,0.588,-0.805,2.158,-0.557,1.841,-0.456,1.525,-0.441,1.392,-0.457,1.366
476.613,-0.111,-0.316,-0.666,2.099,-0.553,1.826,-0.486,1.532,-0.464,1.385,-0.459,1.384
476.624,-0.185,-0.958,-0.564,1.995,-0.524,1.804,-0.483,1.544,-0.462,1.393,-0.466,1.399
476.635,0.652,0.078,-0.835,2.201,-0.573,1.899,-0.475,1.604,-0.447,1.444,-0.473,1.417
476.645,0.422,0.274,-0.711,2.357,-0.545,1.943,-0.478,1.625,-0.449,1.458,-0.476,1.438
476.656,0.104,0.395,-0.937,2.095,-0.620,1.915,-0.506,1.668,-0.465,1.503,-0.484,1.469
476.667,-0.829,0.506,-0.674,2.139,-0.609,1.960,-0.556,1.713,-0.513,1.550,-0.505,1.501
476.679,-0.099,0.754,-0.661,2.373,-0.584,2.031,-0.536,1.743,-0.499,1.583,-0.520,1.529
476.690,0.308,-0.542,-0.452,2.213,-0.547,1.972,-0.546,1.730,-0.519,1.568,-0.533,1.551
476.701,-0.089,-0.204,-0.550,2.279,-0.573,2.018,-0.550,1.767,-0.530,1.598,-0.538,1.572
476.711,0.688,0.689,-0.507,2.427,-0.526,2.106,-0.511,1.837,-0.501,1.674,-0.538,1.604
476.722,1.274,-0.395,-0.299,2.542,-0.457,2.120,-0.487,1.843,-0.486,1.671,-0.533,1.631
476.733,0.420,-0.416,-0.528,2.700,-0.528,2.176,-0.506,1.872,-0.508,1.687,-0.526,1.653
476.744,0.342,-0.193,-0.278,2.465,-0.470,2.133,-0.503,1.891,-0.518,1.705,-0.525,1.676
476.755,-0.209,0.116,-0.291,2.119,-0.491,2.056,-0.522,1.900,-0.546,1.729,-0.526,1.701
476.766,-0.556,-0.255,-0.295,2.232,-0.509,2.091,-0.535,1.911,-0.565,1.749,-0.529,1.727
476.777,0.279,0.692,-0.303,2.216,-0.474,2.121,-0.498,1.952,-0.536,1.805,-0.525,1.756
476.788,0.645,0.570,-0.200,2.320,-0.429,2.155,-0.474,1.970,-0.519,1.833,-0.514,1.784
476.799,1.272,0.582,-0.522,2.391,-0.461,2.194,-0.436,1.999,-0.478,1.860,-0.494,1.811
476.810,0.505,-0.635,-0.384,2.051,-0.429,2.090,-0.436,1.975,-0.476,1.850,-0.478,1.830
476.821,1.363,0.004,-0.462,2.243,-0.399,2.139,-0.389,1.990,-0.420,1.879,-0.460,1.841
476.832,0.726,-0.561,-0.641,2.463,-0.462,2.188,-0.414,1.998,-0.436,1.879,-0.449,1.856
476.844,0.600,-0.632,-0.636,2.812,-0.450,2.278,-0.411,2.026,-0.435,1.889,-0.442,1.867
476.855,1.337,-0.281,-0.672,3.239,-0.443,2.468,-0.402,2.139,-0.418,1.943,-0.433,1.898
476.866,0.869,-0.011,-1.296,2.769,-0.584,2.441,-0.433,2.244,-0.421,1.999,-0.426,1.944
476.877,0.784,0.497,-1.202,1.726,-0.580,2.269,-0.496,2.311,-0.435,2.069,-0.433,2.000
476.888,-0.413,0.517,-0.372,1.262,-0.421,2.051,-0.550,2.251,-0.484,2.093,-0.456,2.038
476.899,0.159,0.617,-0.322,1.930,-0.288,2.089,-0.506,2.196,-0.481,2.119,-0.474,2.059
476.910,-0.163,-0.816,-0.023,1.495,-0.176,1.913,-0.500,2.220,-0.513,2.119,-0.481,2.078
476.921,0.680,-0.296,0.286,1.805,0.046,1.849,-0.470,2.319,-0.478,2.187,-0.478,2.105
476.932,0.140,-1.057,0.312,1.293,0.158,1.733,-0.431,2.283,-0.502,2.192,-0.473,2.118
476.943,0.288,-1.713,0.595,1.746,0.344,1.664,-0.380,2.296,-0.499,2.171,-0.450,2.122
476.954,-1.163,-0.820,-0.535,0.694,0.153,1.250,-0.434,2.234,-0.513,2.180,-0.438,2.121
476.965,0.046,-0.563,-0.928,0.220,0.137,1.005,-0.407,2.127,-0.473,2.163,-0.431,2.100
476.976,-0.461,-1.159,-0.051,-0.073,0.485,0.808,-0.430,2.044,-0.467,2.125,-0.421,2.073
476.987,0.869,-1.298,-1.284,0.472,0.333,0.793,-0.452,1.901,-0.453,2.074,-0.428,2.020
476.998,1.890,0.369,0.132,0.862,0.800,0.917,-0.432,1.935,-0.441,2.061,-0.421,1.973
477.009,2.959,-0.880,-0.536,1.095,0.963,0.919,-0.357,1.884,-0.364,2.008,-0.395,1.937
477.020,2.452,0.750,-0.369,-0.280,1.287,0.963,-0.306,1.910,-0.373,2.007,-0.366,1.905
477.031,0.379,0.587,-1.004,-1.177,1.089,0.654,-0.341,1.735,-0.376,1.951,-0.340,1.864
477.042,1.519,0.234,-1.491,-1.487,1.087,0.222,-0.320,1.513,-0.335,1.864,-0.332,1.786
477.053,1.830,0.190,-1.047,-0.031,1.194,0.526,-0.397,1.303,-0.340,1.728,-0.335,1.675
477.064,1.206,0.531,-1.054,2.215,1.113,0.980,-0.464,1.248,-0.372,1.633,-0.353,1.567
477.075,1.743,0.348,0.418,2.834,1.482,0.981,-0.465,1.351,-0.387,1.539,-0.370,1.497
477.086,0.409,0.395,0.706,2.938,1.629,1.232,-0.441,1.476,-0.446,1.511,-0.385,1.472
477.097,0.318,-0.149,0.121,1.373,1.471,0.982,-0.353,1.601,-0.434,1.523,-0.373,1.487
477.108,0.269,0.426,-0.385,0.859,1.322,0.804,-0.340,1.569,-0.426,1.550,-0.360,1.495
477.119,-1.869,0.205,-0.376,0.144,1.323,0.620,-0.386,1.512,-0.476,1.516,-0.354,1.491
477.130,-0.805,1.129,-0.903,-0.098,1.203,0.471,-0.400,1.409,-0.425,1.524,-0.361,1.472
477.141,-1.937,0.804,-0.521,-0.139,1.249,0.407,-0.485,1.365,-0.514,1.482,-0.387,1.448
477.152,-1.697,1.051,-1.033,0.623,1.186,0.304,-0.472,1.323,-0.475,1.483,-0.402,1.425
477.163,-1.058,0.478,-0.629,0.526,1.379,0.093,-0.491,1.249,-0.490,1.427,-0.424,1.384
477.174,-0.895,-0.071,0.178,2.457,1.521,0.543,-0.555,1.169,-0.512,1.345,-0.453,1.328
477.185,0.053,1.146,0.368,2.631,1.477,0.611,-0.492,1.342,-0.500,1.385,-0.463,1.308
477.196,-2.123,0.713,1.465,2.936,1.736,0.560,-0.488,1.471,-0.552,1.376,-0.468,1.323
477.207,-0.381,-0.514,0.377,0.634,1.808,0.483,-0.312,1.547,-0.484,1.384,-0.445,1.358
477.218,-0.609,-0.057,-0.599,-0.867,1.515,0.124,-0.293,1.443,-0.458,1.394,-0.410,1.371
