R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,Dz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
175,25,1900,200,25,2100,200,80,0,0,0,0,7,75,10,10.0,16.0,0.001,0.003,0.03
sysTime,aRawR,aRawP,aPT2R,aPT2P,aKFRawR,aKFRawP,aKFPT20R,aKFPT20P,aKFPT21R,aKFPT21P
316.246,4.455,-14.496,-2.973,5.658,-3.009,5.415,-3.123,5.883,-3.153,5.800
316.257,-2.486,4.654,-3.156,5.591,-3.019,5.345,-3.069,5.828,-3.145,5.806
316.268,-3.484,17.880,-3.068,5.716,-2.828,5.515,-3.090,5.775,-3.141,5.791
316.279,-1.845,1.142,-2.992,5.995,-2.853,5.668,-3.040,5.811,-3.125,5.797
316.290,-3.189,7.698,-2.913,6.182,-2.785,5.603,-3.055,5.815,-3.104,5.817
316.300,-5.098,5.842,-2.810,6.237,-2.794,5.624,-3.064,5.862,-3.088,5.839
316.311,-10.914,5.860,-2.710,6.156,-2.760,5.601,-3.001,5.877,-3.065,5.859
316.322,1.880,2.257,-2.806,6.144,-2.853,5.574,-2.985,5.844,-3.042,5.863
316.333,-7.168,1.638,-2.894,6.099,-2.898,5.518,-2.969,5.837,-3.023,5.863
316.344,-8.111,11.216,-3.000,5.932,-3.007,5.339,-2.988,5.821,-3.017,5.855
316.354,4.132,18.663,-3.125,5.731,-3.074,5.363,-3.004,5.827,-3.024,5.840
316.365,5.519,3.553,-3.313,5.593,-3.161,5.255,-3.012,5.815,-3.039,5.819
316.376,-5.181,12.230,-3.475,5.542,-3.210,5.402,-3.019,5.794,-3.060,5.799
316.387,0.000,6.739,-3.670,5.847,-3.278,5.643,-3.039,5.788,-3.084,5.783
316.398,-8.759,-6.329,-3.615,6.060,-3.197,5.489,-3.039,5.789,-3.105,5.784
316.408,9.574,-4.315,-3.600,6.084,-3.109,5.511,-3.074,5.823,-3.124,5.794
316.419,-10.687,11.903,-3.669,5.959,-3.243,5.435,-3.077,5.810,-3.140,5.800
316.430,13.415,-2.961,-3.764,6.018,-3.165,5.500,-3.105,5.828,-3.167,5.798
316.441,-10.167,4.403,-3.808,5.967,-3.190,5.478,-3.132,5.840,-3.194,5.800
316.452,-6.630,9.506,-3.975,5.951,-3.251,5.400,-3.193,5.839,-3.230,5.801
316.462,1.972,16.672,-4.146,5.874,-3.337,5.431,-3.230,5.829,-3.278,5.798
316.473,-3.315,16.365,-4.119,5.829,-3.371,5.466,-3.296,5.832,-3.327,5.795
316.484,-12.623,17.356,-4.102,5.811,-3.449,5.423,-3.366,5.803,-3.385,5.786
316.495,7.806,16.735,-4.078,5.722,-3.336,5.258,-3.413,5.745,-3.437,5.768
316.505,-17.126,17.126,-3.838,5.542,-3.295,5.214,-3.453,5.771,-3.476,5.747
316.516,-23.274,-0.410,-3.640,5.403,-3.286,5.155,-3.502,5.810,-3.516,5.736
316.527,-26.704,-1.737,-3.223,5.313,-3.114,5.150,-3.504,5.841,-3.531,5.740
316.538,-24.020,0.528,-3.022,5.320,-3.097,5.239,-3.511,5.844,-3.531,5.749
316.549,11.316,8.361,-3.230,5.231,-3.036,5.283,-3.545,5.853,-3.534,5.755
316.560,11.463,39.352,-3.616,4.992,-3.171,5.537,-3.584,5.868,-3.551,5.759
316.571,-1.909,15.170,-4.003,4.834,-3.370,5.597,-3.616,5.835,-3.592,5.753
316.581,17.763,-7.981,-4.219,5.032,-3.207,5.563,-3.702,5.826,-3.659,5.744
316.592,65.606,-5.045,-4.398,5.338,-2.440,5.504,-3.800,5.799,-3.738,5.748
316.603,-25.460,1.112,-4.019,5.447,-1.417,5.518,-3.816,5.891,-3.794,5.779
316.614,-8.654,41.115,-3.527,5.484,-0.862,5.988,-3.789,5.965,-3.824,5.825
316.625,27.391,-24.184,-3.663,5.474,-0.754,6.330,-3.938,6.023,-3.853,5.875
316.636,-21.720,19.538,-3.471,5.866,-0.378,7.134,-3.935,6.171,-3.890,5.961
316.647,39.520,-27.506,-3.295,5.495,-0.132,6.873,-4.090,6.301,-3.933,6.051
316.657,-4.110,-12.830,-3.433,6.072,-0.409,7.648,-4.095,6.561,-3.990,6.189
316.668,17.343,47.552,-3.283,5.503,-0.094,7.830,-4.284,6.726,-4.065,6.333
316.679,-27.964,8.270,-3.367,5.789,-0.379,7.917,-4.311,6.836,-4.125,6.487
316.690,32.660,-22.858,-3.303,5.469,-0.557,7.657,-4.513,7.100,-4.220,6.641
316.701,-50.428,34.733,-3.619,5.293,-1.109,8.450,-4.591,7.230,-4.319,6.803
316.712,49.033,-8.908,-3.897,6.391,-0.727,8.593,-4.917,7.472,-4.486,7.010
316.723,-19.513,-64.313,-3.552,5.577,-0.850,7.322,-4.959,7.734,-4.634,7.225
316.734,-2.423,44.052,-3.779,6.009,-1.077,6.616,-4.943,7.951,-4.734,7.455
316.745,-11.455,-56.077,-3.873,5.171,-1.283,5.917,-5.021,8.321,-4.827,7.693
316.756,13.175,50.072,-4.127,5.173,-1.193,6.603,-4.887,8.576,-4.875,7.942
316.767,0.629,-59.537,-3.940,5.044,-1.198,6.994,-4.773,8.907,-4.861,8.197
316.777,12.325,36.297,-3.636,4.351,-0.896,7.504,-4.680,8.993,-4.824,8.408
316.788,-35.607,17.103,-3.940,5.141,-1.269,7.288,-4.446,9.132,-4.738,8.610
316.800,-26.245,21.745,-4.687,5.655,-2.083,7.331,-4.222,9.428,-4.638,8.855
316.811,0.622,-3.126,-5.145,5.999,-2.408,7.192,-4.087,9.839,-4.529,9.172
316.822,-25.631,-62.163,-5.445,5.635,-3.151,6.618,-4.259,9.940,-4.484,9.450
316.833,-72.843,-15.757,-6.063,5.066,-4.157,6.495,-4.155,10.031,-4.481,9.670
316.845,-1.983,30.544,-6.468,5.352,-3.624,5.275,-3.990,10.133,-4.456,9.857
316.856,14.373,-18.259,-6.546,5.335,-3.734,3.993,-3.989,10.286,-4.430,10.038
316.867,59.322,-14.133,-6.404,4.669,-2.846,3.343,-4.058,10.358,-4.421,10.166
316.878,27.942,-6.121,-5.991,4.056,-2.221,3.527,-3.923,10.512,-4.380,10.243
316.889,-27.871,-60.073,-6.058,2.517,-2.892,2.723,-3.864,10.362,-4.325,10.230
316.900,-36.788,-43.862,-6.692,0.785,-3.030,1.635,-3.763,9.981,-4.286,10.072
316.912,-21.820,33.360,-7.136,0.010,-3.089,1.333,-3.587,9.423,-4.257,9.751
316.923,-22.361,36.862,-7.359,0.098,-2.873,1.143,-3.541,8.780,-4.224,9.332
316.935,-45.869,16.105,-8.046,0.477,-3.710,-0.204,-3.652,8.065,-4.229,8.848
316.946,-50.248,-5.090,-9.118,0.524,-4.227,-0.732,-3.740,7.422,-4.289,8.313
316.958,-22.633,-23.868,-10.031,0.398,-4.450,-1.758,-3.812,6.816,-4.392,7.753
316.969,8.619,39.006,-10.078,0.592,-4.144,-2.070,-3.912,6.191,-4.495,7.187
316.981,-3.735,54.551,-9.264,1.557,-4.210,-1.945,-4.071,5.588,-4.589,6.635
316.992,-11.065,49.580,-8.334,2.996,-3.834,-2.505,-4.121,4.932,-4.626,6.119
317.004,-4.751,31.047,-7.776,4.317,-4.135,-3.205,-4.290,4.386,-4.660,5.638
317.015,-18.761,4.451,-7.770,5.399,-5.424,-3.361,-4.382,3.886,-4.692,5.206
317.027,14.866,-52.155,-8.038,5.861,-5.419,-3.963,-4.517,3.624,-4.753,4.844
317.038,17.893,-71.227,-7.737,5.016,-5.008,-5.633,-4.769,3.477,-4.870,4.523
317.050,11.579,-78.465,-7.037,3.814,-4.703,-7.086,-5.050,3.133,-5.018,4.163
317.061,-8.671,-68.910,-6.107,2.700,-4.425,-8.008,-5.178,2.682,-5.124,3.726
317.073,4.906,-50.545,-5.060,2.017,-4.101,-8.544,-5.273,2.209,-5.185,3.247
317.084,29.486,-8.354,-3.802,1.555,-3.593,-8.554,-5.349,1.823,-5.195,2.776
317.096,33.453,-2.807,-2.327,1.217,-3.919,-8.588,-5.380,1.516,-5.144,2.340
