R
Px,I,D,Py,I,D,Pz,I,D,FFrx,y,FFdrx,y,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
175,25,1900,200,25,2100,100,10,0,0,0,0,7,75,10,10.0,16.0,0.001,0.003,0.03
sysTime,GPT1X,GPT1Z,aPT1R,aPT1P,aKFRawR,aKFRawP,aKFPT10R,aKFPT10P,aKFPT20R,aKFPT20P,aKFPT21R,aKFPT21P
592.294,-0.779,-0.219,0.333,0.914,0.294,0.936,0.293,0.936,0.290,0.941,0.244,0.901
592.305,-0.088,-0.002,0.287,0.865,0.305,0.946,0.313,0.957,0.312,0.962,0.246,0.903
592.317,0.487,-0.609,0.110,0.805,0.289,0.908,0.333,0.931,0.336,0.937,0.254,0.900
592.328,1.288,0.714,0.418,1.078,0.388,0.990,0.376,0.959,0.371,0.957,0.272,0.900
592.339,1.873,-0.508,-0.088,0.983,0.261,0.917,0.359,0.903,0.380,0.915,0.284,0.898
592.351,1.483,-0.042,-0.341,0.154,0.219,0.761,0.358,0.910,0.394,0.928,0.302,0.896
592.362,1.283,-1.038,-0.144,0.615,0.247,0.819,0.337,0.873,0.390,0.902,0.306,0.889
592.373,0.802,-1.094,0.147,0.976,0.274,0.867,0.352,0.859,0.391,0.877,0.313,0.871
592.385,0.332,-0.098,0.894,1.142,0.429,0.921,0.339,0.890,0.361,0.895,0.309,0.864
592.396,-1.821,-0.669,0.417,0.196,0.282,0.688,0.291,0.855,0.298,0.886,0.297,0.859
592.407,-0.984,-0.480,0.421,0.902,0.296,0.826,0.311,0.841,0.304,0.869,0.283,0.846
592.419,-1.881,-1.570,0.295,1.037,0.212,0.818,0.252,0.808,0.250,0.833,0.264,0.835
592.430,0.072,-0.800,0.386,1.019,0.267,0.833,0.288,0.830,0.281,0.840,0.255,0.820
592.442,-0.016,-1.606,0.255,0.882,0.228,0.762,0.277,0.788,0.274,0.793,0.257,0.806
592.453,-0.710,-1.879,0.197,0.700,0.199,0.686,0.258,0.754,0.255,0.763,0.257,0.788
592.464,-1.331,-1.948,0.117,0.333,0.145,0.605,0.209,0.738,0.217,0.759,0.247,0.774
592.475,-1.822,-2.081,0.462,0.311,0.213,0.566,0.204,0.703,0.195,0.735,0.235,0.751
592.487,-2.760,-1.752,0.389,0.295,0.158,0.527,0.169,0.656,0.150,0.704,0.214,0.722
592.498,-2.270,-2.049,0.256,0.017,0.105,0.383,0.146,0.572,0.135,0.658,0.193,0.688
592.510,-1.057,-0.660,0.062,-0.067,0.074,0.333,0.154,0.524,0.156,0.654,0.180,0.651
592.521,-1.287,-0.125,0.046,0.464,0.061,0.416,0.140,0.490,0.150,0.647,0.173,0.620
592.532,-0.165,0.278,0.147,1.279,0.091,0.619,0.151,0.500,0.176,0.641,0.167,0.594
592.543,0.520,1.037,0.294,2.319,0.146,0.933,0.176,0.615,0.194,0.660,0.171,0.591
592.555,0.258,0.229,0.007,1.722,0.076,0.888,0.170,0.726,0.188,0.653,0.178,0.614
592.566,-0.127,-0.705,-0.332,0.749,0.035,0.773,0.164,0.777,0.186,0.653,0.183,0.647
592.577,0.138,-0.960,0.034,-0.168,0.115,0.522,0.133,0.725,0.181,0.669,0.179,0.669
592.588,0.514,-1.163,0.220,0.296,0.151,0.508,0.149,0.646,0.204,0.677,0.177,0.667
592.600,-0.246,-1.137,0.226,0.656,0.105,0.565,0.102,0.630,0.158,0.676,0.165,0.652
592.611,1.422,-0.413,-0.047,0.696,0.152,0.692,0.184,0.714,0.209,0.695,0.171,0.651
592.622,-0.394,-0.338,0.267,0.648,0.207,0.732,0.116,0.715,0.131,0.687,0.169,0.657
592.633,-1.689,-0.629,-0.139,0.114,0.034,0.534,0.056,0.660,0.097,0.689,0.158,0.660
592.645,-1.655,-0.163,-0.039,0.071,-0.024,0.519,-0.001,0.656,0.069,0.713,0.128,0.656
592.656,-1.414,0.233,-0.128,0.287,-0.021,0.588,0.023,0.693,0.069,0.718,0.106,0.654
592.667,-0.614,0.926,0.170,0.356,0.097,0.660,0.054,0.732,0.089,0.750,0.094,0.664
592.679,0.524,0.740,0.223,0.058,0.139,0.560,0.072,0.669,0.126,0.741,0.092,0.666
592.690,0.684,0.101,0.376,-0.332,0.188,0.469,0.078,0.622,0.132,0.705,0.092,0.655
592.701,-1.067,-2.506,0.446,-0.518,0.143,0.345,0.056,0.519,0.057,0.599,0.087,0.629
592.713,-1.991,-3.077,0.366,-0.240,0.079,0.244,0.031,0.387,0.029,0.517,0.079,0.574
592.724,0.151,-2.267,0.598,-0.368,0.129,0.108,0.071,0.307,0.084,0.480,0.072,0.511
592.735,-1.066,-2.243,0.815,0.110,0.242,0.125,0.116,0.241,0.075,0.423,0.081,0.452
592.747,-0.770,-2.822,0.828,1.444,0.310,0.228,0.192,0.150,0.107,0.348,0.098,0.385
592.758,-1.561,-2.256,0.160,1.443,0.102,0.155,0.131,0.253,0.062,0.317,0.101,0.338
592.770,-1.571,-3.051,0.205,1.618,0.069,0.117,0.143,0.293,0.076,0.265,0.112,0.319
592.781,-0.584,-1.962,0.440,0.821,0.125,0.012,0.159,0.337,0.112,0.295,0.118,0.316
592.793,-1.326,-2.684,-0.027,1.858,0.078,0.219,0.145,0.274,0.107,0.262,0.128,0.306
592.804,-3.325,-5.994,0.280,0.684,0.662,-0.065,0.088,0.267,0.048,0.162,0.126,0.294
592.815,0.072,-6.651,-1.064,0.343,0.838,-0.522,0.132,0.112,0.142,0.133,0.116,0.251
592.827,-2.700,-10.710,0.796,2.782,1.560,-0.414,-0.062,-0.013,-0.009,-0.050,0.092,0.179
592.838,-1.764,-14.571,0.773,2.985,2.176,-0.680,0.023,-0.129,0.019,-0.237,0.074,0.083
592.850,0.402,-19.346,-2.111,2.015,1.755,-0.959,0.071,-0.248,0.146,-0.426,0.079,-0.024
592.861,-3.933,-26.496,-2.334,-0.536,1.371,-1.253,-0.205,-0.573,-0.009,-0.747,0.033,-0.188
592.873,-9.643,-31.385,-0.409,0.996,1.799,-0.877,-0.478,-1.042,-0.299,-1.107,-0.082,-0.433
592.884,-16.051,-34.773,0.926,1.920,1.947,-0.670,-0.809,-1.333,-0.663,-1.483,-0.260,-0.711
592.896,-16.596,-33.511,-0.003,-0.929,2.154,-1.727,-0.896,-1.618,-0.840,-1.664,-0.452,-0.986
592.907,-18.395,-35.700,-2.720,0.775,2.164,-2.333,-1.106,-2.001,-1.011,-1.984,-0.637,-1.270
592.919,-23.811,-36.187,-1.502,-2.095,2.050,-3.298,-1.674,-2.285,-1.467,-2.256,-0.891,-1.564
592.930,-29.066,-36.804,-0.159,-2.216,2.092,-4.175,-2.087,-2.783,-1.943,-2.549,-1.195,-1.877
592.942,-32.155,-35.858,-1.403,3.612,1.549,-3.971,-2.457,-2.876,-2.290,-2.820,-1.512,-2.157
592.953,-31.079,-28.337,-1.285,-1.531,1.139,-5.261,-2.751,-2.830,-2.579,-2.792,-1.835,-2.361
592.965,-24.111,-18.974,-0.206,-0.972,1.084,-5.221,-2.766,-2.790,-2.600,-2.606,-2.093,-2.468
592.976,-16.390,-6.156,-1.354,4.498,0.899,-4.520,-2.602,-2.263,-2.486,-2.247,-2.233,-2.431
592.988,-3.705,13.573,-2.269,1.104,0.649,-4.745,-2.366,-1.423,-2.178,-1.493,-2.268,-2.186
592.999,8.574,37.475,-0.815,-2.794,1.030,-4.467,-2.002,-0.413,-1.792,-0.374,-2.171,-1.712
593.011,27.299,63.331,-2.575,-9.315,1.799,-4.204,-1.184,0.561,-1.006,1.002,-1.902,-1.047
593.022,47.730,82.762,-6.669,-3.972,1.966,-1.726,-0.383,1.559,-0.028,2.222,-1.457,-0.257
593.034,64.540,103.144,-7.732,-2.559,1.842,0.379,0.393,2.946,0.971,3.573,-0.878,0.687
593.045,82.181,122.958,-7.282,-6.670,2.319,0.871,1.233,4.330,2.045,5.066,-0.212,1.776
593.057,97.756,141.264,-1.020,-8.042,4.617,2.362,2.309,5.700,3.100,6.642,0.574,2.993
593.068,105.623,154.587,1.237,-7.016,6.859,3.889,3.515,7.018,4.046,8.063,1.469,4.241
593.080,120.109,157.093,0.642,-3.927,8.641,5.584,5.102,8.132,5.409,9.189,2.497,5.481
