R
Px,I,D,Py,I,D,Pz,I,D,FFrx,y,FFdrx,y,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
175,25,1900,200,25,2100,100,50,0,0,0,0,7,75,10,10.0,16.0,0.001,0.003,0.03
sysTime,aRawR,aRawP,aPT2R,aPT2P,aKFPT21R,aKFPT21P
130.513,-2.458,-20.753,-1.834,-1.143,-2.154,0.124
130.524,-11.894,8.933,-2.222,-0.809,-2.351,-0.300
130.535,-6.479,21.937,-2.707,0.151,-2.593,-0.687
130.547,5.981,12.694,-2.878,0.973,-2.908,-1.082
130.559,-14.741,-51.903,-2.998,1.428,-3.211,-1.431
130.570,-74.209,-14.341,-3.528,1.647,-3.496,-1.744
130.581,-56.388,16.264,-4.311,2.092,-3.757,-2.025
130.593,9.042,50.252,-4.170,2.688,-3.987,-2.285
130.604,29.957,47.253,-2.798,3.539,-4.159,-2.503
130.615,20.877,-65.818,-1.488,3.054,-4.253,-2.695
130.627,10.816,-69.181,-0.797,0.349,-4.281,-2.975
130.639,6.527,-72.854,-0.373,-3.343,-4.254,-3.402
130.650,-26.059,-50.698,-0.190,-5.492,-4.203,-3.960
130.662,-56.567,33.439,-0.633,-5.711,-4.128,-4.577
130.673,-12.533,27.620,-1.037,-5.027,-4.017,-5.150
130.685,33.778,32.433,-0.390,-3.791,-3.913,-5.646
130.696,64.144,21.653,0.634,-3.303,-3.738,-6.039
130.708,-17.233,-50.424,1.007,-3.526,-3.475,-6.356
130.719,-12.491,-4.183,0.560,-3.877,-3.163,-6.614
130.731,4.533,16.513,0.093,-3.580,-2.851,-6.827
130.743,-70.742,-16.702,-0.420,-3.399,-2.507,-6.985
130.756,-61.777,-19.912,-1.754,-4.096,-2.190,-7.130
130.768,-23.725,-18.249,-3.112,-5.071,-1.963,-7.302
130.780,34.641,-39.048,-3.790,-5.629,-1.824,-7.475
130.791,5.601,-47.488,-3.914,-6.946,-1.710,-7.652
130.803,-40.305,-49.259,-4.784,-8.389,-1.575,-7.832
130.815,-41.829,-24.307,-6.120,-8.397,-1.480,-7.993
130.827,-21.535,32.454,-6.495,-7.652,-1.447,-8.117
130.839,8.871,54.121,-6.108,-5.760,-1.447,-8.137
130.851,10.476,-49.198,-5.134,-4.777,-1.412,-7.998
130.862,-3.166,-45.653,-4.097,-4.698,-1.321,-7.754
130.874,-8.066,-10.795,-3.210,-2.776,-1.142,-7.379
130.886,0.249,64.606,-2.343,0.670,-0.946,-6.841
130.898,-0.049,88.488,-1.663,3.112,-0.729,-6.118
130.910,-7.006,80.270,-1.031,4.601,-0.473,-5.267
130.922,17.966,-29.130,-0.229,4.587,-0.191,-4.361
130.934,15.370,-0.858,0.353,4.385,0.126,-3.461
130.946,7.586,32.438,0.740,4.918,0.450,-2.565
130.957,1.093,60.765,0.887,4.965,0.781,-1.709
130.969,-15.281,-74.194,0.818,4.591,1.104,-0.907
130.981,-6.913,-77.790,0.503,2.390,1.401,-0.223
130.993,-17.624,-68.354,-0.089,-0.204,1.715,0.294
131.005,-19.449,-24.795,-0.527,-1.479,2.021,0.678
131.016,18.022,36.634,-0.383,-1.310,2.317,0.974
131.028,30.753,57.920,-0.123,-0.789,2.621,1.240
131.040,-58.166,-5.397,-0.189,-0.261,2.912,1.472
131.051,-20.000,-30.141,-0.975,-1.011,3.205,1.651
131.062,23.796,-35.550,-1.217,-1.693,3.447,1.725
131.073,11.733,57.361,-1.151,-1.263,3.674,1.746
131.084,-12.269,3.873,-1.270,-0.842,3.865,1.738
131.095,-3.253,-46.203,-1.354,-1.422,4.008,1.706
131.107,4.423,-20.847,-1.343,-1.355,4.097,1.582
131.119,8.002,51.564,-1.050,-0.087,4.186,1.460
131.131,16.033,45.079,-0.516,1.733,4.210,1.371
