R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,64.0,0.000100,0.003000,50,40,120,30,100,155,300,0,0,0.995
sysTime,PIDRefX,PIDSensX,PIDPoutX,PIDIoutX,PIDDoutX,PIDUX
257.354,0.000,-0.494,0.008,0.090,-0.086,0.185
257.365,0.000,0.745,-0.013,0.089,0.037,0.038
257.376,0.000,0.460,-0.008,0.087,-0.001,0.081
257.387,0.000,0.329,-0.005,0.085,-0.035,0.115
257.398,0.000,0.291,-0.005,0.085,-0.011,0.092
257.409,0.000,-0.037,0.000,0.085,-0.020,0.106
257.420,0.000,0.193,-0.003,0.085,0.002,0.079
257.431,0.000,0.822,-0.014,0.083,0.042,0.026
257.442,0.000,0.407,-0.007,0.082,-0.015,0.090
257.452,0.000,0.407,-0.007,0.079,-0.051,0.124
257.463,0.000,0.659,-0.011,0.078,0.007,0.059
257.474,0.000,-1.390,0.024,0.079,-0.155,0.259
257.485,0.000,-2.146,0.037,0.084,-0.166,0.288
257.496,0.000,-3.147,0.055,0.092,-0.149,0.296
257.507,0.000,-3.373,0.059,0.101,-0.097,0.257
257.518,0.000,-2.587,0.045,0.109,0.006,0.148
257.529,0.000,-1.332,0.023,0.114,0.112,0.025
257.540,0.000,-1.127,0.019,0.119,0.122,0.017
257.552,0.000,-1.204,0.021,0.122,0.056,0.086
257.563,0.000,-0.772,0.013,0.125,0.085,0.053
257.575,0.000,-0.368,0.006,0.128,0.105,0.028
257.586,0.000,0.033,-0.000,0.129,0.097,0.031
257.598,0.000,0.587,-0.010,0.127,0.069,0.047
257.609,0.000,1.315,-0.023,0.124,0.104,-0.002
257.621,0.000,1.647,-0.028,0.121,0.099,-0.006
257.632,0.000,1.356,-0.023,0.116,0.033,0.059
257.644,0.000,0.710,-0.012,0.113,-0.045,0.146
257.654,0.000,0.948,-0.016,0.110,-0.013,0.107
257.665,0.000,-0.046,0.000,0.110,-0.067,0.178
257.677,0.000,0.515,-0.009,0.108,-0.006,0.106
257.688,0.000,0.990,-0.017,0.107,0.045,0.044
257.700,0.000,0.780,-0.013,0.105,0.022,0.069
