R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.001000,0.003000,10,250,1,250,1,50,500,0,0
sysTime,aRawR,aPT1R,aKFRawR,aKFPT10R,aKFPT11R
658.307,7.663,0.351,0.236,0.218,0.233
658.319,-3.537,0.245,0.220,0.208,0.219
658.331,-11.386,0.155,0.182,0.174,0.203
658.342,0.373,0.015,0.201,0.199,0.197
658.354,-0.392,-0.008,0.180,0.180,0.187
658.365,14.390,0.317,0.169,0.150,0.178
658.377,9.172,-0.024,0.170,0.168,0.167
658.389,-6.437,0.029,0.186,0.180,0.164
658.400,-1.920,0.111,0.173,0.162,0.167
658.412,7.074,0.135,0.141,0.128,0.156
658.423,-7.519,0.144,0.127,0.112,0.136
658.435,-0.177,0.071,0.138,0.126,0.122
658.447,1.455,0.312,0.151,0.123,0.116
658.458,-0.904,0.171,0.144,0.124,0.108
658.470,-2.975,0.145,0.127,0.108,0.101
658.481,-0.246,0.077,0.144,0.128,0.105
658.493,-1.275,0.228,0.112,0.086,0.092
658.505,1.206,0.251,0.114,0.086,0.078
658.516,0.535,0.256,0.117,0.088,0.071
658.528,-2.689,0.084,0.122,0.104,0.069
658.539,-4.564,-0.090,0.118,0.109,0.068
658.551,16.354,0.214,0.157,0.127,0.076
658.562,-4.150,-0.228,0.099,0.093,0.068
658.574,10.875,0.111,0.095,0.071,0.055
658.586,-6.442,-0.491,0.051,0.065,0.044
658.597,-15.317,-0.952,0.050,0.086,0.035
658.609,19.116,-0.404,0.076,0.078,0.030
658.621,6.107,-0.420,0.082,0.087,0.027
658.632,3.265,-0.773,0.029,0.054,0.016
658.644,0.133,-0.557,0.016,0.028,0.001
658.655,-9.158,-0.332,-0.005,-0.005,-0.014
658.667,5.563,0.048,-0.029,-0.047,-0.040
658.679,20.570,0.227,0.041,0.018,-0.043
658.690,3.228,-0.436,-0.012,-0.002,-0.053
658.702,-0.613,-1.229,-0.092,-0.034,-0.071
658.714,-26.317,-2.431,-0.118,-0.002,-0.095
658.725,-12.621,-2.229,-0.050,0.057,-0.090
658.737,-23.553,-2.862,-0.027,0.104,-0.074
658.749,-28.291,-2.838,-0.075,0.051,-0.071
658.760,-14.740,-2.145,-0.091,0.006,-0.078
658.772,-29.729,-1.888,-0.105,-0.018,-0.091
658.784,-19.308,-1.520,-0.091,-0.034,-0.104
658.795,-20.416,-1.473,-0.020,0.044,-0.091
658.807,-8.037,-1.942,-0.065,0.028,-0.074
658.818,-11.241,-3.201,-0.204,-0.030,-0.087
658.830,9.473,-3.185,-0.204,-0.022,-0.114
658.842,22.426,-2.078,-0.242,-0.132,-0.149
658.853,29.220,-1.769,-0.284,-0.150,-0.187
658.865,46.904,-0.334,-0.125,-0.109,-0.205
658.877,5.031,0.577,-0.133,-0.139,-0.198
658.889,8.131,1.164,-0.223,-0.275,-0.224
658.900,11.766,1.533,-0.355,-0.420,-0.291
658.912,-22.551,0.861,-0.468,-0.486,-0.360
658.923,-19.050,0.515,-0.596,-0.548,-0.427
658.935,-25.464,0.090,-0.590,-0.503,-0.484
658.947,-36.551,-0.056,-0.619,-0.531,-0.506
658.958,-9.688,0.084,-0.859,-0.763,-0.574
658.970,-8.955,-0.145,-0.931,-0.837,-0.665
658.982,17.367,-0.107,-1.028,-0.942,-0.753
658.993,26.976,-0.863,-1.252,-1.143,-0.886
659.005,23.546,-1.658,-1.528,-1.355,-1.053
659.017,7.022,-2.041,-1.697,-1.487,-1.231
659.029,-7.235,-1.835,-1.781,-1.594,-1.384
659.040,-11.750,-1.345,-1.769,-1.636,-1.502
659.052,-9.382,-0.862,-1.638,-1.565,-1.554
659.063,-4.251,-0.481,-1.495,-1.470,-1.542
659.075,7.989,0.320,-1.319,-1.344,-1.499
659.087,9.709,1.070,-1.084,-1.126,-1.392
659.098,14.329,1.980,-0.863,-0.919,-1.234
659.110,17.660,3.123,-0.540,-0.637,-1.037
659.122,20.409,4.704,-0.094,-0.278,-0.777
659.134,-37.596,4.778,0.445,0.251,-0.416
659.145,-39.473,3.834,0.994,0.851,0.028
659.157,-36.130,3.250,1.657,1.534,0.558
659.169,-21.839,2.975,2.296,2.195,1.136
659.181,-4.396,2.730,2.729,2.647,1.694
659.192,1.513,2.289,3.089,3.033,2.187
659.204,-9.125,1.582,3.254,3.245,2.591
659.216,-21.079,1.150,3.151,3.168,2.849
659.227,-8.960,0.967,2.951,2.958,2.955
659.239,-8.869,1.575,2.803,2.753,2.938
659.251,31.251,2.905,2.478,2.324,2.799
659.262,31.501,2.826,2.071,1.904,2.571
659.274,-7.050,1.747,1.508,1.397,2.240
659.286,-39.043,0.442,0.768,0.686,1.779
659.297,-30.930,0.356,0.107,-0.024,1.202
659.309,-26.484,0.310,-0.616,-0.786,0.579
659.321,-12.863,0.589,-1.382,-1.587,-0.107
659.333,12.399,0.968,-2.086,-2.279,-0.816
659.344,24.604,0.494,-2.953,-3.033,-1.549
659.356,27.666,0.509,-3.493,-3.525,-2.232
659.368,33.907,0.540,-3.744,-3.787,-2.785
659.379,34.220,0.400,-3.819,-3.913,-3.209
659.391,-4.727,-0.097,-3.867,-3.943,-3.495
659.403,2.174,1.118,-3.595,-3.712,-3.632
659.414,-47.753,1.748,-3.229,-3.355,-3.571
659.426,-42.235,2.646,-2.588,-2.747,-3.321
659.438,-25.219,1.833,-1.921,-2.027,-2.904
659.450,-0.133,1.669,-1.126,-1.213,-2.379
659.461,16.914,1.897,-0.212,-0.312,-1.722
659.473,25.468,1.521,0.741,0.645,-0.958
659.485,18.064,1.143,1.634,1.541,-0.136
659.496,9.765,0.983,2.500,2.397,0.701
659.508,18.459,1.477,3.359,3.207,1.542
659.520,14.061,2.206,4.131,3.921,2.362
659.531,9.809,3.092,4.831,4.577,3.145
659.543,2.599,3.483,5.328,5.061,3.850
659.555,-3.549,3.459,5.523,5.274,4.412
659.566,-13.420,2.468,5.336,5.131,4.745
659.578,-34.228,0.347,5.086,4.933,4.864
659.590,-47.761,-0.767,4.505,4.353,4.777
659.601,-49.427,-1.380,3.874,3.727,4.493
659.613,-46.509,-1.145,3.128,2.988,4.056
659.625,-15.015,-0.542,2.111,1.962,3.437
659.636,9.257,-0.673,1.027,0.880,2.653
659.647,0.230,-0.816,0.044,-0.087,1.860
659.657,-26.756,-1.582,-0.890,-0.979,1.025
659.668,-47.164,-2.264,-1.758,-1.804,0.151
659.679,-43.781,-1.972,-2.694,-2.716,-0.768
659.691,-25.121,-1.682,-3.709,-3.720,-1.709
659.703,17.658,-0.910,-4.635,-4.693,-2.655
659.714,29.361,-0.441,-5.565,-5.656,-3.609
659.726,23.396,0.398,-6.706,-6.839,-4.616
659.737,11.704,0.715,-8.017,-8.161,-5.680
659.749,-3.809,0.715,-9.577,-9.717,-6.877
659.760,-15.798,0.526,-11.379,-11.504,-8.234
659.772,-18.960,0.271,-13.219,-13.328,-9.743
