R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha,FFDTermC,IRelaxR,IRelaxE,DmaxR,DmaxE,DMx,DMy
35,20,20,45,5,25,350,10,0,0,0,0,35,200,10,10.0,64.0,0.000100,0.003000,50,30,0,30,0,75,300,0,0,0.995,10.000,3000,300,300,100,25,25
sysTime,GRawXi,GPT1Xi133,GPT1Xi200,PIDRefX,PIDRefY,PIDRefZ,PIDSensX,PIDSensY,PIDSensZ
146.200,2,-1,0,0.000,-0.446,0.000,-0.780,-0.745,0.240
146.206,2,-1,0,0.000,-0.446,0.000,-0.541,-1.084,0.480
146.212,1,-1,-1,0.000,-0.446,0.000,-0.317,-0.518,1.027
146.218,0,-1,-1,0.000,-0.446,0.000,0.123,0.638,-0.004
146.224,2,-1,-1,0.000,-0.446,0.000,-0.452,1.061,0.415
146.230,-1,-1,-1,0.000,-0.297,0.000,-0.003,0.630,0.676
146.236,1,-1,-1,0.000,-0.297,0.000,-0.166,0.478,-0.722
146.241,-3,-1,-1,0.000,-0.297,0.000,0.828,0.620,-0.653
146.247,0,-1,0,0.000,-0.446,0.000,0.299,0.345,-0.568
146.253,-6,-1,-1,0.000,-0.446,0.000,0.554,0.351,0.941
146.259,3,-1,-1,0.000,-0.446,0.000,0.083,0.761,0.839
146.265,3,-1,0,0.000,-0.446,0.000,-0.325,0.684,0.184
146.271,-2,-1,-1,0.000,-0.446,0.000,0.501,1.255,-0.069
146.277,-2,-1,-1,0.000,-0.446,0.000,0.190,1.399,-0.836
146.283,-4,-1,-1,0.000,-0.446,0.000,0.499,1.047,-0.400
146.289,-3,-1,-1,0.000,-0.446,0.000,0.853,1.562,-0.421
146.295,1,-1,0,0.000,-0.446,0.000,0.217,0.703,-0.409
146.301,3,-1,0,0.000,-0.446,0.000,-0.008,0.968,0.382
146.307,0,-1,-1,0.000,-0.446,0.000,-0.415,1.316,0.945
146.313,0,-1,-1,0.000,-0.446,0.000,-0.037,1.161,-0.404
146.319,-6,-1,-1,0.000,-0.446,0.000,0.547,0.408,0.604
