R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.000100,0.003000,20,50,5,50,5,50,175,0,0,0.995
sysTime,GRawX,GPT1X,ARawX,ARawY,ARawZ,APT1X,APT1Y,APT1Z,aRawR,aPT1R,aKFRawR,aKFPT10R,aKFPT11R,aCFRawR,aCFPT10R,aCFPT11R
53.365,-6.404,0.101,0.134,1.372,10.430,0.242,0.017,9.857,7.500,0.099,0.223,0.228,0.219,0.201,0.217,0.196
53.375,0.798,0.992,0.838,-1.235,9.374,0.241,-0.011,9.838,-7.481,-0.068,0.240,0.253,0.223,0.196,0.240,0.199
53.386,6.901,1.535,0.335,-0.933,9.410,0.231,-0.027,9.846,-5.665,-0.162,0.255,0.273,0.231,0.193,0.256,0.204
53.396,-1.033,0.999,0.069,0.115,9.970,0.205,-0.007,9.865,0.663,-0.040,0.243,0.256,0.239,0.192,0.235,0.209
53.406,4.704,0.781,0.098,-0.488,9.812,0.195,-0.011,9.865,-2.849,-0.069,0.237,0.252,0.244,0.181,0.229,0.211
53.416,-6.526,0.122,0.529,-0.459,9.697,0.205,-0.007,9.859,-2.709,-0.044,0.220,0.233,0.246,0.164,0.207,0.211
53.426,-3.840,0.613,-0.080,0.647,9.891,0.215,-0.016,9.850,3.744,-0.098,0.223,0.239,0.247,0.157,0.208,0.208
53.437,-2.742,0.110,0.077,0.136,9.410,0.216,0.004,9.815,0.834,0.027,0.186,0.196,0.245,0.134,0.164,0.203
53.447,0.065,0.248,-0.030,-0.315,10.035,0.204,0.003,9.851,-1.802,0.022,0.197,0.208,0.245,0.143,0.174,0.201
53.457,-0.788,0.022,0.055,-0.739,9.740,0.174,-0.034,9.857,-4.344,-0.198,0.198,0.219,0.246,0.114,0.182,0.199
53.467,7.023,1.571,-0.878,-1.623,9.819,0.124,-0.073,9.850,-9.355,-0.425,0.253,0.283,0.253,0.136,0.239,0.200
53.477,1.530,1.715,-0.986,-0.186,9.841,0.100,-0.088,9.826,-1.080,-0.517,0.268,0.303,0.266,0.132,0.248,0.203
53.487,0.920,1.649,-0.418,-0.128,9.704,0.130,-0.061,9.809,-0.760,-0.359,0.285,0.312,0.278,0.161,0.249,0.208
53.498,0.920,0.604,-0.799,-0.926,9.489,0.149,-0.068,9.808,-5.559,-0.402,0.292,0.322,0.290,0.155,0.251,0.212
53.508,2.995,0.574,0.127,-1.041,9.553,0.143,-0.065,9.798,-6.223,-0.384,0.286,0.316,0.289,0.146,0.237,0.204
53.518,4.216,0.958,-0.167,-1.371,10.064,0.097,-0.056,9.813,-7.765,-0.328,0.311,0.337,0.294,0.174,0.252,0.203
53.528,5.681,1.283,0.436,1.351,9.798,0.115,0.015,9.817,7.848,0.090,0.319,0.329,0.296,0.223,0.239,0.202
53.538,-4.084,0.572,0.192,2.917,10.193,0.136,0.049,9.839,15.977,0.288,0.306,0.309,0.301,0.229,0.217,0.205
53.549,-4.206,0.113,0.810,0.999,9.769,0.219,0.008,9.849,5.822,0.051,0.297,0.309,0.304,0.192,0.216,0.207
53.559,2.995,0.484,0.515,0.639,10.301,0.292,-0.024,9.861,3.552,-0.142,0.318,0.338,0.306,0.187,0.241,0.205
53.569,-6.892,0.036,1.248,-0.567,9.611,0.292,-0.070,9.843,-3.350,-0.411,0.309,0.342,0.308,0.141,0.237,0.201
53.579,-6.648,-1.067,2.139,1.078,9.747,0.238,-0.085,9.845,6.169,-0.495,0.264,0.300,0.297,0.079,0.185,0.179
53.589,-1.765,-1.256,0.472,1.272,10.107,0.148,-0.080,9.851,7.170,-0.466,0.226,0.261,0.276,0.036,0.136,0.150
53.600,-2.009,-1.186,-0.052,1.293,9.762,0.124,-0.114,9.848,7.552,-0.667,0.214,0.258,0.259,-0.006,0.122,0.121
53.610,-5.183,-1.263,-1.697,1.552,10.135,0.129,-0.130,9.859,8.594,-0.755,0.210,0.258,0.243,-0.032,0.110,0.093
53.620,-6.648,-0.696,0.960,-0.854,8.921,0.203,-0.202,9.849,-5.442,-1.177,0.197,0.264,0.226,-0.106,0.100,0.062
53.630,-5.427,-0.957,2.146,0.711,9.841,0.269,-0.212,9.855,4.044,-1.234,0.185,0.255,0.210,-0.139,0.072,0.028
53.640,0.798,-0.414,1.564,1.092,10.035,0.239,-0.201,9.861,6.143,-1.172,0.192,0.259,0.195,-0.138,0.059,-0.003
53.651,-1.765,-0.395,-0.626,0.797,10.193,0.139,-0.172,9.885,4.470,-0.999,0.197,0.256,0.184,-0.126,0.041,-0.028
53.661,6.169,-0.575,-0.562,1.430,9.510,0.082,-0.142,9.865,8.541,-0.829,0.171,0.222,0.166,-0.142,-0.006,-0.059
53.671,3.361,-0.407,-0.066,2.292,9.647,0.134,-0.094,9.868,13.373,-0.550,0.151,0.188,0.149,-0.135,-0.050,-0.086
53.681,-3.352,-0.964,-0.547,2.587,9.819,0.221,-0.039,9.865,14.745,-0.231,0.133,0.157,0.136,-0.120,-0.087,-0.104
53.692,2.751,-0.310,0.364,0.762,9.719,0.323,-0.028,9.868,4.482,-0.164,0.154,0.175,0.126,-0.093,-0.071,-0.115
53.702,6.779,-0.256,0.249,-0.531,9.985,0.358,-0.028,9.871,-3.046,-0.167,0.117,0.138,0.115,-0.129,-0.106,-0.125
53.712,-2.253,-1.022,0.982,-0.351,10.207,0.386,-0.015,9.863,-1.964,-0.091,0.068,0.086,0.102,-0.166,-0.156,-0.136
53.722,0.920,-0.696,0.357,0.589,10.078,0.365,0.080,9.852,3.347,0.466,0.092,0.084,0.093,-0.069,-0.148,-0.135
53.732,-0.544,0.032,-0.231,0.122,9.618,0.314,0.150,9.838,0.730,0.879,0.119,0.092,0.091,0.018,-0.125,-0.122
53.743,5.314,0.679,-0.626,-2.169,9.374,0.213,0.131,9.834,-13.008,0.765,0.135,0.115,0.097,0.028,-0.084,-0.098
53.754,0.798,0.048,0.177,0.661,10.092,0.171,0.096,9.832,3.751,0.561,0.106,0.097,0.101,-0.012,-0.090,-0.080
53.765,-3.474,-0.310,-0.526,0.920,9.776,0.160,0.035,9.847,5.371,0.207,0.077,0.084,0.099,-0.075,-0.095,-0.075
53.776,-7.502,-1.401,0.235,0.956,9.884,0.217,-0.033,9.820,5.525,-0.195,0.056,0.082,0.094,-0.141,-0.095,-0.079
53.787,-0.178,-0.906,1.348,0.812,9.805,0.349,-0.046,9.831,4.694,-0.273,0.040,0.069,0.076,-0.167,-0.110,-0.099
53.798,2.018,-0.045,-0.497,-0.574,9.862,0.389,-0.050,9.810,-3.330,-0.292,0.068,0.098,0.069,-0.142,-0.083,-0.107
53.809,-2.009,-0.393,1.169,-1.185,10.020,0.389,-0.036,9.825,-6.702,-0.213,0.018,0.044,0.059,-0.180,-0.134,-0.115
53.820,-1.765,-0.684,0.314,-0.725,9.898,0.330,-0.017,9.831,-4.190,-0.103,0.005,0.027,0.052,-0.175,-0.147,-0.118
53.831,-3.108,-0.712,1.499,-0.035,9.546,0.305,-0.032,9.844,-0.210,-0.186,-0.027,-0.002,0.040,-0.213,-0.173,-0.127
53.841,5.803,-0.592,-0.885,-0.595,9.712,0.282,0.031,9.861,-3.498,0.185,-0.038,-0.030,0.026,-0.179,-0.195,-0.136
53.852,-5.061,-1.368,1.198,-3.771,9.654,0.276,0.005,9.854,-21.201,0.029,-0.073,-0.055,0.019,-0.225,-0.208,-0.132
53.863,-1.643,-0.700,0.220,0.668,9.079,0.233,0.030,9.837,4.212,0.180,-0.029,-0.019,0.012,-0.155,-0.163,-0.130
53.874,4.582,0.353,-3.141,-0.006,9.280,0.218,-0.015,9.862,-0.039,-0.089,0.001,0.022,0.010,-0.147,-0.119,-0.129
53.885,6.291,0.537,1.233,1.717,9.309,0.171,-0.030,9.843,10.370,-0.175,0.002,0.027,0.010,-0.154,-0.112,-0.127
53.896,-0.666,-0.492,0.731,1.200,9.632,0.153,-0.019,9.867,7.086,-0.113,-0.019,0.002,0.008,-0.170,-0.141,-0.133
53.907,6.901,1.347,3.281,-1.019,9.934,0.207,0.054,9.867,-5.570,0.315,0.039,0.037,0.010,-0.050,-0.099,-0.125
53.917,-3.108,0.478,-1.740,-2.492,10.904,0.291,0.102,9.853,-12.727,0.594,0.061,0.043,0.025,0.025,-0.079,-0.093
53.927,-17.635,-0.661,0.113,-1.371,10.653,0.301,0.070,9.857,-7.341,0.412,0.000,-0.005,0.029,-0.053,-0.112,-0.074
53.937,1.896,-1.090,-4.226,1.121,10.646,0.197,0.064,9.917,5.593,0.370,-0.019,-0.018,0.019,-0.084,-0.118,-0.079
53.947,5.925,-0.854,6.141,-0.610,7.736,0.153,0.053,9.854,-3.537,0.311,-0.048,-0.038,0.006,-0.122,-0.128,-0.082
53.958,-0.300,-1.161,-6.181,-0.559,12.499,0.207,0.051,9.828,-2.300,0.298,-0.067,-0.055,-0.004,-0.140,-0.137,-0.085
53.968,-5.183,-1.191,5.494,1.049,8.418,0.233,0.056,9.846,5.962,0.327,-0.100,-0.088,-0.017,-0.163,-0.162,-0.091
53.978,4.094,-0.846,-1.467,-1.192,10.883,0.242,0.084,9.861,-6.199,0.488,-0.063,-0.054,-0.022,-0.111,-0.120,-0.088
53.988,-7.991,-0.832,1.593,0.891,10.998,0.293,0.063,9.900,4.588,0.368,-0.114,-0.087,-0.031,-0.191,-0.140,-0.085
53.999,-10.676,-0.187,-3.220,-1.027,7.218,0.205,0.017,9.892,-7.406,0.103,-0.101,-0.047,-0.030,-0.233,-0.096,-0.080
54.009,-3.230,-1.108,5.760,2.199,10.135,0.273,0.058,9.852,10.687,0.341,-0.115,-0.074,-0.038,-0.213,-0.120,-0.084
54.019,8.244,0.196,-2.998,-0.775,9.834,0.352,0.081,9.830,-4.316,0.477,-0.085,-0.067,-0.043,-0.116,-0.098,-0.076
54.029,4.216,0.897,-2.487,0.374,9.640,0.242,0.081,9.860,2.152,0.474,-0.060,-0.052,-0.039,-0.061,-0.078,-0.067
54.040,-1.033,1.279,7.484,2.285,12.514,0.248,0.015,9.891,8.911,0.088,-0.105,-0.073,-0.033,-0.156,-0.092,-0.055
54.050,-1.765,0.780,-7.488,-3.556,8.124,0.306,-0.009,9.967,-17.849,-0.055,-0.152,-0.104,-0.027,-0.230,-0.118,-0.043
54.060,5.925,0.814,3.288,-0.064,13.002,0.257,-0.054,10.038,-0.274,-0.308,-0.145,-0.085,-0.021,-0.250,-0.099,-0.038
54.070,-17.390,-1.584,-0.152,2.486,11.307,0.300,-0.075,10.052,12.407,-0.427,-0.236,-0.175,-0.029,-0.344,-0.191,-0.051
54.081,-8.235,-2.586,1.751,-2.830,7.412,0.287,-0.056,10.081,-20.395,-0.321,-0.237,-0.164,-0.044,-0.369,-0.181,-0.067
54.091,4.948,-2.401,-5.146,-0.617,13.757,0.179,-0.087,10.142,-2.408,-0.495,-0.257,-0.174,-0.073,-0.407,-0.192,-0.099
54.101,-18.611,-2.771,5.645,6.071,9.611,0.134,-0.061,10.203,28.592,-0.347,-0.264,-0.193,-0.098,-0.391,-0.219,-0.132
54.112,13.860,0.384,-1.640,-6.739,8.303,0.195,-0.018,10.228,-38.546,-0.101,-0.222,-0.128,-0.110,-0.388,-0.141,-0.132
