R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.000100,0.003000,20,40,5,40,5,50,175,0,0,0.995
sysTime,ARawX,ARawY,ARawZ,aPT1R,aKFRawR,aKFPT10R,aKFPT11R,aCFRawR,aCFPT10R,aCFPT11R
142.130,0.551,-0.193,10.028,0.808,0.512,0.505,0.455,0.696,0.668,0.626
142.141,0.034,0.596,10.365,0.640,0.512,0.511,0.468,0.674,0.673,0.638
142.151,0.005,1.078,9.805,0.913,0.513,0.501,0.474,0.708,0.662,0.644
142.162,0.156,1.207,10.229,0.985,0.538,0.524,0.482,0.744,0.689,0.656
142.173,0.170,-1.163,9.690,0.674,0.533,0.532,0.487,0.701,0.699,0.663
142.183,-0.253,-0.811,9.898,0.451,0.536,0.544,0.493,0.671,0.705,0.664
142.194,0.055,0.216,9.826,0.365,0.550,0.560,0.497,0.666,0.714,0.661
142.205,0.026,0.891,9.834,0.423,0.578,0.586,0.508,0.694,0.730,0.665
142.215,-0.102,1.171,9.740,0.662,0.602,0.601,0.521,0.743,0.741,0.674
142.226,-0.332,0.927,9.848,1.010,0.593,0.578,0.527,0.776,0.719,0.682
142.236,1.126,0.539,9.870,1.274,0.639,0.613,0.536,0.859,0.761,0.699
142.247,0.522,1.918,10.193,1.247,0.640,0.619,0.545,0.855,0.773,0.716
142.258,-0.267,1.746,9.985,0.911,0.635,0.628,0.548,0.805,0.783,0.721
142.268,0.465,-0.545,9.877,0.529,0.631,0.640,0.552,0.750,0.792,0.723
142.279,0.235,-1.185,10.200,0.111,0.594,0.620,0.548,0.655,0.761,0.709
142.290,-0.296,-1.594,9.618,-0.097,0.612,0.646,0.548,0.637,0.772,0.695
142.300,0.436,0.172,9.575,0.116,0.637,0.662,0.562,0.675,0.772,0.694
142.311,0.515,0.151,9.999,0.219,0.642,0.662,0.569,0.682,0.760,0.690
142.321,-1.496,0.999,10.207,0.398,0.660,0.674,0.579,0.711,0.761,0.692
142.332,-1.216,-0.128,9.769,0.627,0.650,0.658,0.587,0.717,0.742,0.697
142.343,0.249,-0.006,9.525,0.952,0.633,0.630,0.589,0.735,0.717,0.702
142.353,2.067,-0.107,9.582,0.903,0.613,0.612,0.582,0.711,0.704,0.699
142.364,1.205,-0.495,9.913,0.690,0.642,0.652,0.584,0.710,0.744,0.702
142.375,-1.280,-0.559,9.676,0.255,0.636,0.664,0.595,0.646,0.748,0.706
142.385,-1.173,0.036,9.999,0.150,0.648,0.680,0.604,0.633,0.752,0.703
142.396,-0.325,-0.876,10.013,-0.016,0.659,0.698,0.614,0.614,0.756,0.700
142.406,0.802,-1.185,10.006,-0.450,0.630,0.687,0.620,0.517,0.725,0.687
142.417,-0.260,-0.092,10.071,-0.468,0.619,0.676,0.618,0.486,0.692,0.662
142.428,-0.404,1.200,9.417,-0.222,0.649,0.696,0.620,0.531,0.691,0.644
