R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.000100,0.003000,20,50,5,50,5,50,175,0,0,0.995
sysTime,ARawX,ARawY,ARawZ,aPT1R,aKFRawR,aKFPT10R,aKFPT11R,aCFRawR,aCFPT10R,aCFPT11R
218.553,0.235,0.043,9.848,0.305,0.408,0.410,0.366,0.403,0.410,0.371
218.563,0.235,0.050,9.848,0.304,0.408,0.410,0.379,0.400,0.407,0.382
218.574,0.242,0.086,9.826,0.338,0.391,0.391,0.377,0.385,0.387,0.379
218.586,0.235,0.036,9.819,0.341,0.367,0.367,0.366,0.362,0.363,0.368
218.596,0.228,0.057,9.877,0.348,0.328,0.328,0.351,0.325,0.324,0.352
218.607,0.235,0.086,9.877,0.344,0.347,0.347,0.340,0.343,0.344,0.342
218.617,0.213,0.079,9.834,0.343,0.353,0.354,0.337,0.350,0.350,0.339
218.628,0.213,0.072,9.819,0.354,0.361,0.361,0.339,0.359,0.358,0.341
218.639,0.271,0.108,9.848,0.362,0.372,0.371,0.343,0.371,0.369,0.347
218.649,0.199,0.022,9.855,0.335,0.386,0.386,0.353,0.381,0.383,0.356
218.660,0.249,0.079,9.848,0.335,0.407,0.407,0.367,0.401,0.403,0.370
218.671,0.249,0.022,9.877,0.333,0.439,0.439,0.379,0.432,0.434,0.382
218.681,0.278,0.072,9.855,0.343,0.440,0.440,0.394,0.433,0.433,0.396
218.692,0.228,0.050,9.848,0.337,0.446,0.447,0.407,0.437,0.439,0.408
218.704,0.220,-0.215,9.791,0.313,0.428,0.429,0.410,0.414,0.420,0.410
218.715,0.378,-0.473,9.891,0.239,0.409,0.413,0.409,0.385,0.402,0.407
218.726,0.199,-0.373,9.553,0.526,0.437,0.431,0.416,0.449,0.424,0.417
218.736,-0.073,1.035,10.258,0.493,0.423,0.418,0.420,0.430,0.411,0.421
218.747,-0.346,-0.538,9.697,0.207,0.410,0.417,0.425,0.382,0.410,0.427
218.758,0.881,-0.718,9.712,0.264,0.404,0.408,0.423,0.383,0.401,0.423
218.768,0.709,0.510,9.244,-0.028,0.384,0.398,0.423,0.323,0.383,0.416
218.780,0.019,-0.301,10.286,-0.036,0.406,0.421,0.429,0.340,0.398,0.413
218.790,0.925,-1.098,9.424,-0.312,0.389,0.414,0.437,0.278,0.381,0.409
218.801,1.212,-1.249,9.726,-0.662,0.348,0.387,0.437,0.180,0.337,0.393
218.812,1.384,-1.264,8.878,-0.868,0.358,0.407,0.439,0.144,0.336,0.372
218.823,0.508,0.503,10.279,-0.692,0.348,0.390,0.442,0.139,0.299,0.354
218.834,-0.361,0.589,10.128,-0.445,0.373,0.406,0.450,0.180,0.300,0.346
218.846,0.271,0.661,9.532,-0.335,0.371,0.399,0.451,0.183,0.281,0.334
218.856,-0.188,-0.013,9.690,-0.462,0.346,0.379,0.448,0.134,0.250,0.319
218.867,-0.188,-0.480,9.920,-0.778,0.350,0.395,0.446,0.088,0.250,0.300
218.877,0.537,0.683,9.826,-0.487,0.358,0.391,0.446,0.122,0.232,0.284
218.888,-0.210,-0.904,9.618,-0.568,0.371,0.407,0.446,0.114,0.235,0.271
218.899,-0.907,0.632,9.791,-0.587,0.385,0.421,0.450,0.113,0.233,0.259
218.910,-0.576,0.151,9.870,-0.351,0.407,0.435,0.459,0.156,0.237,0.257
218.921,-0.612,-2.643,9.597,-0.355,0.367,0.395,0.457,0.111,0.191,0.248
218.933,0.644,-0.164,9.913,-0.334,0.404,0.432,0.459,0.142,0.218,0.241
218.945,1.593,0.309,9.611,-0.099,0.384,0.402,0.458,0.146,0.184,0.234
218.956,0.975,-1.034,10.020,0.150,0.386,0.394,0.453,0.181,0.180,0.231
218.966,0.069,-1.558,9.977,0.171,0.357,0.365,0.448,0.158,0.155,0.230
218.977,0.271,-0.114,10.013,0.220,0.334,0.340,0.435,0.144,0.133,0.219
218.987,0.493,1.387,10.006,0.549,0.347,0.340,0.429,0.199,0.139,0.218
218.997,-0.404,-0.452,10.365,0.570,0.344,0.337,0.423,0.207,0.146,0.221
219.007,0.041,-2.119,9.338,0.625,0.346,0.338,0.418,0.221,0.158,0.227
219.017,0.292,-0.531,9.855,0.625,0.338,0.330,0.417,0.221,0.159,0.234
219.027,-0.864,-0.904,10.020,0.841,0.327,0.310,0.413,0.246,0.153,0.241
219.037,-0.885,0.295,10.150,0.938,0.355,0.336,0.417,0.290,0.191,0.256
219.047,-1.101,0.302,10.200,1.086,0.359,0.335,0.428,0.324,0.204,0.280
219.057,0.443,-1.357,9.611,1.203,0.339,0.310,0.433,0.331,0.198,0.303
219.069,1.140,-0.401,10.222,0.970,0.320,0.301,0.437,0.300,0.210,0.326
219.080,1.614,0.216,9.999,0.836,0.317,0.304,0.438,0.293,0.227,0.340
219.091,1.097,0.618,9.977,0.605,0.327,0.324,0.438,0.284,0.255,0.346
219.101,0.587,0.560,9.712,0.572,0.321,0.320,0.440,0.276,0.255,0.350
219.112,-0.188,-0.358,9.848,0.990,0.314,0.297,0.437,0.324,0.243,0.355
219.123,0.889,-0.552,10.035,1.217,0.323,0.296,0.437,0.377,0.262,0.374
219.133,2.548,-0.294,9.676,1.345,0.295,0.264,0.430,0.383,0.253,0.388
219.144,0.594,0.273,9.690,1.569,0.298,0.258,0.420,0.426,0.267,0.396
219.155,1.320,-3.254,9.496,1.455,0.245,0.210,0.402,0.384,0.248,0.403
219.165,1.327,-0.028,10.897,1.579,0.220,0.181,0.387,0.397,0.250,0.417
219.176,-1.747,2.809,10.315,1.536,0.209,0.174,0.378,0.390,0.262,0.425
219.187,2.203,0.352,9.173,1.590,0.199,0.164,0.365,0.404,0.275,0.432
219.197,-0.181,-0.710,10.294,1.591,0.210,0.176,0.354,0.428,0.308,0.440
219.208,2.189,-2.880,10.559,0.971,0.174,0.164,0.355,0.347,0.322,0.465
219.219,-4.003,1.236,7.391,0.616,0.125,0.121,0.344,0.289,0.286,0.456
219.230,7.118,1.631,11.508,0.941,0.070,0.048,0.315,0.288,0.215,0.428
219.240,-0.598,1.760,9.424,1.435,0.082,0.038,0.286,0.381,0.229,0.419
219.251,2.728,-2.880,7.879,0.722,0.069,0.061,0.278,0.278,0.265,0.421
219.262,-6.554,2.012,15.733,1.243,0.056,0.046,0.270,0.281,0.260,0.421
219.272,4.654,-0.272,7.398,1.294,0.092,0.079,0.272,0.341,0.308,0.436
219.283,0.932,5.640,14.712,1.454,0.065,0.052,0.262,0.331,0.302,0.445
219.294,3.597,-6.868,5.911,0.656,0.001,0.072,0.259,0.056,0.333,0.452
219.305,-5.419,2.924,12.801,1.380,-0.066,0.022,0.250,-0.046,0.294,0.450
219.315,1.004,-3.513,14.540,0.910,-0.111,-0.008,0.239,-0.104,0.281,0.454
219.326,-2.933,6.093,8.030,1.711,-0.207,-0.152,0.201,-0.047,0.150,0.427
219.337,8.023,2.967,14.094,2.014,-0.250,-0.186,0.150,-0.074,0.152,0.408
219.348,-1.949,-1.371,5.415,1.233,-0.342,-0.229,0.109,-0.270,0.129,0.382
219.358,-6.906,-2.737,15.445,0.620,-0.356,-0.227,0.090,-0.307,0.145,0.372
219.369,3.188,3.901,6.169,1.400,-0.296,-0.224,0.078,-0.075,0.155,0.365
219.380,2.311,6.661,16.523,2.354,-0.327,-0.242,0.073,-0.103,0.172,0.392
219.390,0.953,-6.229,1.944,1.074,-0.520,-0.282,0.062,-0.673,0.150,0.396
219.401,-6.985,3.341,18.470,1.783,-0.630,-0.366,0.016,-0.815,0.086,0.365
219.412,3.949,0.108,7.111,1.773,-0.740,-0.480,-0.060,-0.868,-0.000,0.311
219.423,1.571,2.141,14.058,1.553,-0.860,-0.598,-0.142,-0.944,-0.089,0.253
219.433,-5.828,-7.522,6.830,0.210,-0.974,-0.641,-0.231,-1.209,-0.120,0.171
219.444,2.081,5.022,8.813,1.327,-1.057,-0.758,-0.326,-1.171,-0.225,0.083
219.455,4.172,4.670,16.710,2.129,-1.135,-0.830,-0.401,-1.202,-0.257,0.044
219.466,-2.796,-6.300,7.003,1.101,-1.273,-0.883,-0.466,-1.514,-0.283,0.002
219.476,1.974,3.542,10.502,2.128,-1.385,-1.014,-0.549,-1.518,-0.385,-0.055
219.487,2.829,5.762,13.390,2.729,-1.522,-1.153,-0.635,-1.576,-0.472,-0.095
219.498,-6.317,-7.378,9.927,0.791,-1.714,-1.255,-0.729,-1.942,-0.537,-0.159
219.509,4.905,-1.939,7.901,0.490,-1.774,-1.301,-0.819,-1.997,-0.573,-0.244
219.520,9.626,3.118,8.749,1.636,-1.815,-1.376,-0.888,-1.891,-0.619,-0.288
219.530,-11.260,3.161,14.339,1.690,-1.806,-1.360,-0.924,-1.837,-0.567,-0.291
219.541,-3.702,-0.610,9.266,1.097,-1.727,-1.243,-0.930,-1.801,-0.423,-0.272
219.552,4.675,-6.185,9.137,0.522,-1.703,-1.169,-0.905,-1.866,-0.338,-0.237
219.562,6.428,0.999,8.806,1.102,-1.624,-1.125,-0.891,-1.652,-0.285,-0.213
219.573,-3.134,7.954,10.516,2.169,-1.583,-1.122,-0.867,-1.461,-0.255,-0.162
219.584,-8.645,6.581,15.251,2.914,-1.521,-1.044,-0.820,-1.370,-0.131,-0.068
219.595,-2.703,-6.430,5.444,0.695,-1.554,-0.934,-0.767,-1.715,-0.000,0.006
219.606,6.270,-2.643,11.551,0.114,-1.412,-0.772,-0.680,-1.593,0.158,0.092
219.616,2.613,0.208,6.392,0.942,-1.266,-0.662,-0.576,-1.326,0.261,0.190
219.627,3.935,7.918,14.102,2.188,-1.164,-0.546,-0.466,-1.208,0.393,0.321
219.638,-10.642,1.947,10.804,1.755,-1.028,-0.378,-0.336,-1.108,0.577,0.469
219.649,-1.072,-0.761,11.845,1.074,-0.931,-0.250,-0.207,-1.047,0.708,0.605
219.659,-2.250,-5.438,4.862,0.744,-0.822,-0.076,-0.070,-1.072,0.873,0.737
219.670,6.622,-0.718,8.540,1.000,-0.633,0.115,0.083,-0.863,1.058,0.888
219.681,-3.436,3.197,9.791,1.584,-0.446,0.284,0.242,-0.594,1.220,1.046
219.692,1.938,0.884,13.096,1.235,-0.255,0.508,0.415,-0.454,1.439,1.219
219.702,-3.536,-2.586,8.835,0.615,-0.107,0.706,0.593,-0.416,1.616,1.380
219.713,4.675,-1.379,7.039,0.661,0.047,0.859,0.760,-0.242,1.740,1.525
219.724,0.680,1.832,6.392,1.270,0.191,0.970,0.919,0.001,1.828,1.665
219.735,-5.793,3.592,11.889,1.605,0.295,1.073,1.063,0.126,1.914,1.795
219.746,5.157,0.136,11.680,1.513,0.433,1.228,1.210,0.244,2.055,1.932
219.757,-3.335,-4.454,8.892,0.358,0.486,1.338,1.328,0.162,2.133,2.021
219.767,8.462,2.084,7.477,0.661,0.624,1.452,1.446,0.358,2.208,2.103
219.778,-11.562,2.529,8.332,1.116,0.731,1.526,1.565,0.553,2.253,2.194
219.789,-0.303,0.359,13.814,0.601,0.855,1.662,1.677,0.645,2.354,2.274
219.800,8.533,-6.509,6.859,-0.174,0.998,1.841,1.806,0.689,2.487,2.362
219.811,-1.173,2.716,9.058,1.173,1.126,1.951,1.926,0.850,2.551,2.439
219.822,-1.323,7.947,11.659,1.974,1.111,1.952,2.029,0.809,2.535,2.526
219.833,-7.531,-3.987,6.564,1.189,1.173,2.079,2.126,0.724,2.641,2.604
219.844,3.030,-4.576,8.777,0.569,1.119,2.058,2.184,0.587,2.577,2.620
219.855,7.966,2.278,8.821,0.910,1.109,2.037,2.211,0.604,2.517,2.609
219.866,0.752,1.379,7.096,1.222,0.996,1.905,2.195,0.546,2.358,2.562
219.878,-4.233,1.430,14.030,1.171,0.914,1.823,2.152,0.469,2.251,2.491
219.889,0.996,-1.659,11.134,0.646,0.742,1.677,2.080,0.242,2.077,2.387
219.900,3.260,0.072,2.828,0.767,0.571,1.489,1.970,0.117,1.861,2.243
219.911,-1.711,4.397,5.817,1.744,0.462,1.313,1.847,0.190,1.671,2.101
219.922,-8.645,3.147,14.166,1.581,0.220,1.086,1.695,-0.063,1.441,1.940
219.934,-1.805,-3.714,10.825,0.704,-0.094,0.815,1.494,-0.462,1.165,1.724
219.945,4.689,-5.453,6.241,-0.612,-0.407,0.576,1.274,-0.946,0.902,1.472
219.956,7.779,-4.677,7.994,-0.678,-0.757,0.236,1.023,-1.310,0.537,1.186
219.967,4.107,1.322,12.758,0.423,-1.064,-0.090,0.740,-1.545,0.203,0.886
219.978,0.845,4.785,8.641,1.271,-1.333,-0.405,0.464,-1.660,-0.099,0.612
219.989,-8.588,2.371,13.045,1.062,-1.656,-0.727,0.163,-1.938,-0.397,0.323
220.000,0.371,-3.290,11.278,0.275,-1.890,-0.915,-0.119,-2.239,-0.569,0.047
220.011,2.944,-4.425,3.446,-0.220,-2.216,-1.170,-0.386,-2.693,-0.816,-0.219
220.021,0.831,4.182,11.759,0.488,-2.452,-1.353,-0.627,-3.005,-0.987,-0.455
220.032,3.993,2.838,11.910,0.440,-2.678,-1.557,-0.840,-3.224,-1.164,-0.650
220.043,-6.238,-1.874,11.651,-0.435,-2.810,-1.659,-1.031,-3.376,-1.254,-0.834
220.054,4.301,-0.926,10.567,-0.332,-2.867,-1.737,-1.178,-3.336,-1.322,-0.976
220.064,5.918,-1.393,6.421,-0.327,-2.936,-1.813,-1.310,-3.342,-1.384,-1.097
220.076,-4.255,-0.919,10.250,0.046,-2.874,-1.760,-1.385,-3.205,-1.314,-1.155
220.087,-2.401,4.110,9.194,1.372,-2.752,-1.702,-1.404,-2.868,-1.224,-1.141
220.098,-2.387,6.373,7.362,1.798,-2.652,-1.663,-1.402,-2.554,-1.140,-1.093
220.109,-9.558,2.752,14.051,1.373,-2.637,-1.651,-1.399,-2.471,-1.087,-1.048
220.120,-5.469,-1.745,12.435,0.637,-2.582,-1.567,-1.387,-2.435,-0.977,-1.006
220.131,1.557,-4.375,8.533,-0.562,-2.576,-1.506,-1.360,-2.527,-0.908,-0.968
220.143,-2.789,-4.080,8.763,-1.788,-2.485,-1.359,-1.312,-2.554,-0.778,-0.932
220.154,0.709,-6.818,12.542,-2.727,-2.383,-1.230,-1.238,-2.518,-0.682,-0.885
220.165,8.598,-7.845,9.345,-3.625,-2.256,-1.084,-1.157,-2.457,-0.587,-0.849
220.176,4.481,-8.463,4.639,-4.538,-2.228,-0.983,-1.066,-2.632,-0.552,-0.817
220.188,0.845,-7.378,6.241,-4.356,-2.211,-0.918,-0.970,-2.759,-0.556,-0.783
220.199,5.580,-0.955,10.157,-3.351,-2.073,-0.808,-0.875,-2.581,-0.506,-0.743
220.210,7.966,-0.128,7.592,-2.393,-2.019,-0.805,-0.789,-2.415,-0.542,-0.692
220.221,2.699,-0.912,6.586,-2.048,-1.919,-0.723,-0.704,-2.274,-0.492,-0.633
220.233,-7.244,-0.207,10.042,-1.734,-1.856,-0.663,-0.629,-2.204,-0.461,-0.583
220.244,-5.613,2.536,9.740,-0.395,-1.766,-0.633,-0.548,-1.962,-0.445,-0.511
220.255,0.953,7.753,8.023,1.099,-1.571,-0.531,-0.469,-1.526,-0.332,-0.420
220.266,-0.756,6.100,8.914,1.561,-1.466,-0.470,-0.383,-1.280,-0.250,-0.308
220.278,-7.517,2.270,11.249,1.702,-1.276,-0.295,-0.264,-1.017,-0.048,-0.159
220.289,-6.763,0.790,11.048,1.976,-1.019,-0.055,-0.119,-0.686,0.216,0.015
220.300,-4.708,4.821,10.100,3.295,-0.685,0.217,0.082,-0.170,0.527,0.261
220.311,1.198,8.708,8.950,4.198,-0.326,0.518,0.314,0.376,0.875,0.548
220.323,5.767,4.124,9.489,4.632,-0.002,0.810,0.583,0.824,1.221,0.879
220.334,4.819,0.172,10.157,4.026,0.255,1.091,0.851,1.072,1.547,1.200
220.345,-1.266,-4.037,10.056,3.035,0.465,1.356,1.126,1.183,1.837,1.507
220.356,-4.779,-3.635,10.164,2.808,0.599,1.517,1.366,1.268,2.009,1.765
220.368,0.860,-5.251,11.141,2.925,0.644,1.583,1.561,1.284,2.089,1.977
220.379,6.780,0.029,12.068,3.687,0.744,1.669,1.713,1.437,2.190,2.147
220.390,10.890,-2.593,11.120,3.885,0.815,1.735,1.844,1.550,2.283,2.306
220.402,15.525,-2.270,9.891,3.654,0.782,1.695,1.923,1.559,2.267,2.409
220.413,15.172,-5.223,7.721,2.869,0.714,1.659,1.956,1.438,2.241,2.450
220.424,8.627,-8.118,7.146,1.155,0.681,1.706,1.965,1.219,2.279,2.447
220.435,3.734,-11.064,6.385,-0.405,0.564,1.677,1.958,0.878,2.213,2.403
220.447,-2.430,-9.706,8.928,-2.060,0.353,1.561,1.910,0.408,2.033,2.289
220.458,-5.527,-11.236,8.770,-3.309,0.273,1.524,1.842,0.169,1.912,2.134
220.469,-6.188,-10.223,9.194,-3.861,0.212,1.465,1.766,0.036,1.760,1.963
220.481,-5.139,-8.219,10.035,-4.610,0.156,1.420,1.687,-0.123,1.610,1.778
220.492,-3.960,-7.004,11.098,-4.740,0.142,1.384,1.627,-0.170,1.467,1.611
220.503,-1.589,-6.149,10.444,-4.598,0.112,1.329,1.572,-0.224,1.309,1.453
220.514,0.314,-6.243,11.127,-4.951,0.062,1.275,1.512,-0.352,1.151,1.287
220.526,3.145,-6.566,11.278,-5.234,-0.040,1.165,1.428,-0.521,0.937,1.098
220.537,3.640,-7.457,11.005,-5.381,-0.079,1.108,1.342,-0.607,0.779,0.911
220.548,2.362,-7.910,10.667,-5.088,-0.164,0.988,1.252,-0.697,0.561,0.721
220.560,6.019,-9.570,9.963,-5.369,-0.257,0.880,1.149,-0.832,0.363,0.527
220.571,4.050,-8.334,9.870,-4.852,-0.325,0.799,1.054,-0.940,0.200,0.350
220.582,1.111,-3.980,10.466,-3.528,-0.315,0.764,0.980,-0.890,0.097,0.208
220.593,3.482,-5.726,9.941,-2.588,-0.368,0.721,0.935,-0.997,0.014,0.122
220.605,-0.088,-0.667,10.480,-1.202,-0.448,0.617,0.870,-1.040,-0.114,0.033
220.616,0.644,-2.162,9.546,-0.252,-0.683,0.401,0.767,-1.305,-0.325,-0.067
220.627,-2.315,2.112,10.854,0.904,-0.841,0.220,0.637,-1.384,-0.483,-0.178
220.638,-4.111,3.923,11.881,1.796,-0.947,0.099,0.520,-1.411,-0.565,-0.258
220.650,-3.113,4.663,12.636,2.220,-1.124,-0.071,0.403,-1.547,-0.683,-0.328
220.661,-5.951,3.751,11.529,2.574,-1.329,-0.276,0.260,-1.685,-0.830,-0.416
220.672,-4.427,3.485,11.960,2.522,-1.526,-0.468,0.093,-1.829,-0.960,-0.528
220.684,-3.479,2.946,12.126,2.034,-1.743,-0.660,-0.092,-2.034,-1.093,-0.660
220.695,-8.868,2.917,11.910,1.681,-1.894,-0.798,-0.266,-2.157,-1.181,-0.788
220.706,-8.250,2.680,11.759,1.158,-2.052,-0.946,-0.437,-2.283,-1.287,-0.920
220.717,-6.856,1.933,12.025,0.932,-2.206,-1.102,-0.615,-2.387,-1.400,-1.059
220.729,-11.210,5.310,12.075,0.616,-2.308,-1.193,-0.773,-2.469,-1.458,-1.187
220.740,-8.156,4.771,12.571,-0.094,-2.408,-1.285,-0.909,-2.556,-1.526,-1.301
220.751,-3.881,2.508,11.889,-1.273,-2.438,-1.291,-1.012,-2.621,-1.525,-1.398
220.761,3.195,-8.592,7.427,-2.381,-2.481,-1.278,-1.072,-2.786,-1.519,-1.464
220.772,2.189,-6.573,7.441,-3.214,-2.552,-1.266,-1.126,-3.049,-1.531,-1.540
220.782,0.925,6.797,10.567,-2.216,-2.472,-1.227,-1.150,-2.884,-1.514,-1.583
220.793,1.866,10.081,11.199,-0.019,-2.378,-1.200,-1.152,-2.624,-1.480,-1.574
220.804,2.879,8.141,10.171,1.537,-2.326,-1.220,-1.141,-2.372,-1.466,-1.525
220.815,1.154,1.516,10.186,1.268,-2.280,-1.171,-1.124,-2.287,-1.375,-1.463
220.826,-3.752,0.323,9.546,0.357,-2.300,-1.144,-1.115,-2.374,-1.323,-1.426
220.838,-5.405,-7.436,9.848,-0.904,-2.477,-1.270,-1.128,-2.643,-1.438,-1.427
220.849,-5.692,-9.706,8.469,-2.043,-2.524,-1.255,-1.157,-2.813,-1.426,-1.456
220.860,-3.680,-1.846,8.648,-1.848,-2.663,-1.422,-1.223,-2.883,-1.598,-1.525
220.871,-3.033,7.242,8.303,-0.858,-2.691,-1.517,-1.292,-2.753,-1.688,-1.588
220.882,-3.831,9.484,11.242,-0.073,-3.090,-1.952,-1.429,-3.047,-2.104,-1.709
220.893,-4.399,-0.682,11.989,-1.293,-3.493,-2.290,-1.651,-3.563,-2.423,-1.916
220.904,-3.637,-7.134,10.523,-3.013,-4.150,-2.887,-1.971,-4.330,-3.014,-2.237
220.915,-1.683,-2.600,7.865,-3.377,-4.770,-3.494,-2.383,-4.968,-3.625,-2.663
220.926,-0.763,8.823,11.644,-1.868,-5.415,-4.183,-2.866,-5.488,-4.292,-3.138
220.937,-1.014,5.144,12.614,-1.603,-6.188,-4.946,-3.419,-6.229,-5.011,-3.662
220.948,3.770,-0.897,11.450,-2.006,-7.166,-5.875,-4.080,-7.249,-5.891,-4.292
220.959,4.553,-8.018,6.579,-2.889,-8.049,-6.703,-4.812,-8.184,-6.668,-4.993
220.970,-3.544,4.124,9.510,-1.610,-8.993,-7.706,-5.604,-8.926,-7.608,-5.743
220.981,-4.751,10.037,14.375,1.047,-10.052,-8.814,-6.486,-9.761,-8.603,-6.537
220.992,-1.446,8.011,14.087,2.523,-11.221,-9.989,-7.423,-10.759,-9.627,-7.350
