R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,64.0,0.000100,0.003000,20,60,15,60,15,50,175,0,0,0.995
sysTime,GPT1X,aRawR,aPT1R,aKFRawR,aKFPT10R,aKFPT11R,aCFRawR,aCFPT10R,aCFPT11R
123.454,-0.826,0.044,0.109,0.027,0.027,0.091,0.064,0.064,0.105
123.465,-0.540,0.002,0.118,0.033,0.032,0.087,0.072,0.069,0.099
123.476,0.036,0.254,0.118,0.058,0.057,0.091,0.096,0.093,0.102
123.486,-0.518,0.128,0.111,0.051,0.050,0.094,0.085,0.084,0.104
123.497,-0.744,0.044,0.108,0.061,0.061,0.093,0.093,0.094,0.102
123.507,-0.597,0.044,0.109,0.057,0.057,0.089,0.089,0.089,0.097
123.517,-0.268,0.127,0.114,0.056,0.056,0.084,0.088,0.086,0.091
123.528,-0.545,0.253,0.117,0.048,0.048,0.081,0.080,0.077,0.087
123.538,0.061,0.086,0.110,0.056,0.056,0.079,0.084,0.084,0.084
123.548,-0.131,-0.039,0.107,0.053,0.053,0.081,0.079,0.080,0.086
123.559,-0.097,-0.164,0.110,0.048,0.047,0.080,0.074,0.074,0.084
123.569,-0.442,0.170,0.112,0.030,0.030,0.076,0.057,0.056,0.079
123.579,-0.108,0.086,0.108,0.030,0.030,0.072,0.055,0.056,0.074
123.590,0.023,-0.081,0.108,0.028,0.028,0.072,0.053,0.053,0.074
123.600,-0.290,0.169,0.111,0.028,0.028,0.073,0.053,0.053,0.074
123.610,-0.720,2.758,0.116,0.019,0.019,0.069,0.045,0.043,0.069
123.621,0.378,0.378,0.080,0.047,0.050,0.072,0.064,0.073,0.072
123.631,-0.157,-1.002,0.061,0.031,0.035,0.074,0.042,0.058,0.073
123.641,0.680,0.125,-0.016,0.045,0.054,0.077,0.035,0.074,0.073
123.652,1.416,-1.256,0.013,0.056,0.064,0.085,0.052,0.081,0.079
123.662,1.027,1.009,-0.020,0.042,0.052,0.095,0.027,0.065,0.085
123.673,0.724,-0.655,-0.026,0.049,0.059,0.106,0.029,0.070,0.092
123.683,-0.041,-1.249,0.002,0.045,0.053,0.111,0.029,0.061,0.095
123.693,0.395,-0.761,-0.054,0.059,0.072,0.115,0.028,0.076,0.095
123.704,0.234,1.091,0.001,0.068,0.077,0.120,0.047,0.078,0.097
123.714,-0.176,5.190,0.106,0.069,0.070,0.122,0.071,0.069,0.097
123.724,-0.616,0.980,0.174,0.056,0.051,0.117,0.074,0.051,0.092
123.735,-0.869,-4.091,0.129,0.050,0.051,0.114,0.054,0.052,0.090
123.745,-0.714,-3.130,0.092,0.040,0.043,0.106,0.036,0.045,0.082
123.756,-0.434,-0.363,0.060,0.052,0.057,0.104,0.039,0.057,0.078
123.766,-1.135,-1.473,-0.018,0.024,0.036,0.097,-0.009,0.034,0.069
123.776,-1.177,-2.306,-0.093,0.006,0.024,0.087,-0.046,0.019,0.056
123.787,-1.082,-13.630,-0.408,-0.031,0.012,0.075,-0.168,0.001,0.037
123.797,-0.607,-9.764,-0.669,-0.056,0.008,0.064,-0.262,-0.013,0.015
123.807,-0.778,3.926,-0.658,-0.051,0.012,0.059,-0.265,-0.024,-0.004
123.818,-0.240,-3.090,-0.520,-0.052,0.000,0.047,-0.238,-0.047,-0.028
123.828,0.167,0.255,-0.458,-0.026,0.020,0.046,-0.201,-0.036,-0.037
123.839,-0.851,1.145,-0.458,-0.049,-0.002,0.042,-0.229,-0.068,-0.050
123.849,-0.981,3.272,-0.487,-0.067,-0.018,0.028,-0.258,-0.093,-0.073
123.859,-0.985,2.433,-0.742,-0.092,-0.023,0.015,-0.347,-0.111,-0.099
123.870,-1.516,7.466,-0.716,-0.122,-0.055,-0.003,-0.379,-0.155,-0.130
123.880,-1.332,7.799,-0.719,-0.125,-0.058,-0.019,-0.390,-0.170,-0.158
123.891,-2.008,-5.656,-0.557,-0.143,-0.088,-0.036,-0.376,-0.207,-0.182
123.901,-0.912,-7.084,-0.598,-0.129,-0.070,-0.048,-0.376,-0.196,-0.201
123.911,-0.312,-6.193,-0.695,-0.139,-0.073,-0.059,-0.413,-0.207,-0.219
123.922,-0.433,7.995,-0.774,-0.129,-0.056,-0.059,-0.429,-0.202,-0.230
123.932,-0.984,13.997,-0.647,-0.154,-0.090,-0.072,-0.431,-0.246,-0.252
123.942,-1.254,4.861,-0.627,-0.172,-0.111,-0.084,-0.447,-0.274,-0.272
123.953,-1.519,0.043,-0.586,-0.201,-0.143,-0.101,-0.470,-0.312,-0.295
123.963,-1.716,4.600,-0.720,-0.253,-0.183,-0.126,-0.558,-0.361,-0.328
123.974,-1.790,13.775,-0.809,-0.295,-0.218,-0.153,-0.626,-0.406,-0.366
123.984,-0.926,12.539,-0.681,-0.285,-0.218,-0.171,-0.590,-0.416,-0.394
123.994,0.013,-0.037,-0.703,-0.271,-0.202,-0.177,-0.583,-0.406,-0.407
124.005,-0.451,5.867,-0.546,-0.255,-0.200,-0.176,-0.531,-0.410,-0.411
124.015,-0.474,7.403,-0.368,-0.263,-0.222,-0.186,-0.493,-0.433,-0.421
124.026,-0.912,-1.031,-0.222,-0.276,-0.247,-0.196,-0.468,-0.454,-0.427
124.036,-0.801,-4.147,-0.163,-0.281,-0.258,-0.203,-0.453,-0.458,-0.428
124.046,-1.043,-3.488,-0.237,-0.282,-0.253,-0.208,-0.466,-0.446,-0.426
124.057,-1.345,2.398,-0.392,-0.299,-0.257,-0.217,-0.514,-0.447,-0.432
124.067,-0.773,1.510,-0.400,-0.308,-0.266,-0.231,-0.523,-0.454,-0.444
124.077,-1.410,1.329,-0.517,-0.325,-0.273,-0.240,-0.563,-0.462,-0.453
124.088,-0.956,5.346,-0.536,-0.321,-0.269,-0.251,-0.564,-0.460,-0.466
124.098,-1.658,3.375,-0.511,-0.340,-0.290,-0.265,-0.575,-0.483,-0.482
124.109,-1.102,-0.609,-0.396,-0.342,-0.301,-0.286,-0.549,-0.493,-0.502
124.119,0.456,0.244,-0.372,-0.309,-0.269,-0.288,-0.507,-0.459,-0.500
124.129,-0.336,8.102,-0.364,-0.323,-0.284,-0.285,-0.516,-0.472,-0.495
124.140,-0.306,7.333,-0.455,-0.334,-0.289,-0.288,-0.546,-0.479,-0.499
124.150,1.173,2.305,-0.464,-0.278,-0.232,-0.282,-0.493,-0.425,-0.495
124.161,0.345,-5.231,-0.532,-0.296,-0.244,-0.276,-0.526,-0.438,-0.489
124.171,0.209,9.463,-0.556,-0.301,-0.246,-0.273,-0.540,-0.441,-0.486
124.181,0.232,1.919,-0.433,-0.302,-0.256,-0.275,-0.516,-0.452,-0.487
124.192,0.867,-4.064,-0.509,-0.301,-0.248,-0.273,-0.534,-0.445,-0.486
124.202,1.221,6.026,-0.618,-0.300,-0.238,-0.263,-0.558,-0.437,-0.476
124.213,0.406,17.037,-0.573,-0.301,-0.243,-0.254,-0.549,-0.448,-0.473
124.223,-0.885,-6.530,-0.643,-0.339,-0.275,-0.260,-0.606,-0.484,-0.483
124.233,-1.294,1.291,-0.574,-0.342,-0.284,-0.271,-0.592,-0.494,-0.495
124.244,-1.573,8.383,-0.445,-0.383,-0.337,-0.296,-0.598,-0.549,-0.521
124.254,-0.567,-3.384,-0.324,-0.365,-0.330,-0.308,-0.547,-0.538,-0.529
124.264,0.295,-2.970,-0.187,-0.334,-0.310,-0.307,-0.482,-0.512,-0.522
124.275,0.196,-11.737,-0.349,-0.352,-0.312,-0.304,-0.535,-0.507,-0.512
124.285,1.819,16.408,-0.315,-0.296,-0.258,-0.292,-0.473,-0.450,-0.497
124.296,2.211,-3.076,-0.448,-0.274,-0.222,-0.273,-0.487,-0.417,-0.478
124.306,2.030,-2.041,-0.437,-0.254,-0.205,-0.251,-0.460,-0.399,-0.455
124.317,1.107,-3.082,-0.472,-0.255,-0.203,-0.231,-0.470,-0.397,-0.433
124.328,0.588,5.241,-0.457,-0.258,-0.207,-0.222,-0.468,-0.401,-0.424
124.338,0.036,18.113,-0.308,-0.224,-0.200,-0.214,-0.364,-0.399,-0.420
124.349,0.657,-16.029,-0.303,-0.183,-0.159,-0.208,-0.324,-0.355,-0.410
124.360,0.268,-4.233,-0.328,-0.209,-0.176,-0.206,-0.371,-0.372,-0.406
124.370,0.457,10.463,0.046,-0.158,-0.155,-0.199,-0.240,-0.347,-0.394
124.381,1.234,-11.256,-0.239,-0.151,-0.129,-0.188,-0.279,-0.315,-0.376
124.391,0.354,-9.506,-0.261,-0.140,-0.111,-0.170,-0.285,-0.296,-0.356
124.401,1.287,-8.103,-0.309,-0.125,-0.097,-0.162,-0.268,-0.279,-0.343
124.412,1.624,34.635,-0.063,-0.085,-0.098,-0.148,-0.120,-0.281,-0.329
124.422,0.846,2.010,-0.325,-0.103,-0.080,-0.126,-0.234,-0.260,-0.304
124.433,2.578,-19.727,-0.619,-0.140,-0.082,-0.113,-0.368,-0.267,-0.295
124.443,7.976,-25.916,-0.622,0.024,0.069,-0.071,-0.173,-0.121,-0.257
124.454,7.815,23.651,-0.036,0.083,0.115,-0.000,-0.082,-0.078,-0.187
124.464,12.229,1.571,-0.151,0.330,0.393,0.126,0.081,0.196,-0.059
124.475,18.492,17.233,-0.282,0.554,0.632,0.274,0.256,0.424,0.083
124.485,21.694,-41.132,-0.919,0.806,0.966,0.493,0.277,0.735,0.287
124.495,29.248,-0.707,-0.899,1.152,1.325,0.735,0.566,1.062,0.505
124.506,33.783,-26.588,-0.720,1.643,1.820,1.081,1.018,1.517,0.823
124.516,32.925,19.390,0.236,1.944,2.085,1.403,1.391,1.750,1.126
124.527,31.358,20.816,0.439,2.252,2.368,1.732,1.742,2.005,1.436
124.537,28.136,11.522,0.340,2.411,2.582,2.028,1.737,2.191,1.713
124.548,24.769,15.398,0.183,2.565,2.761,2.291,1.801,2.332,1.946
124.558,17.913,-29.946,-0.360,2.654,2.862,2.500,1.829,2.393,2.119
124.569,11.724,-4.435,-0.240,2.658,2.867,2.636,1.795,2.351,2.212
124.579,4.891,-8.308,-0.182,2.574,2.778,2.698,1.696,2.224,2.234
124.590,-1.628,8.683,0.109,2.425,2.613,2.687,1.563,2.024,2.184
124.600,-7.834,22.142,0.886,2.206,2.385,2.619,1.362,1.779,2.095
124.611,-11.248,-1.976,0.490,1.932,2.172,2.496,0.924,1.550,1.949
124.621,-13.248,-2.457,0.208,1.750,2.002,2.357,0.711,1.365,1.787
124.632,-9.568,-28.818,-0.368,1.636,1.925,2.210,0.494,1.266,1.610
124.643,-7.619,0.531,0.109,1.626,1.865,2.104,0.609,1.188,1.481
124.654,-11.720,30.967,0.714,1.459,1.643,1.982,0.588,0.962,1.347
124.665,-9.526,10.344,0.522,1.386,1.594,1.862,0.461,0.911,1.219
124.676,-13.618,-17.915,0.090,1.139,1.386,1.728,0.118,0.698,1.074
124.687,-15.806,-1.872,0.163,0.907,1.151,1.551,-0.096,0.461,0.887
124.698,-18.149,15.912,0.281,0.655,0.888,1.351,-0.302,0.202,0.684
124.709,-22.855,-13.475,0.120,0.341,0.588,1.125,-0.632,-0.087,0.458
124.720,-25.638,-27.904,-0.264,-0.015,0.258,0.851,-1.039,-0.407,0.183
124.731,-30.244,-13.163,-0.018,-0.418,-0.176,0.533,-1.334,-0.825,-0.129
124.742,-34.699,29.503,0.741,-0.790,-0.622,0.185,-1.479,-1.239,-0.458
124.752,-36.921,24.933,1.177,-1.172,-1.054,-0.191,-1.685,-1.621,-0.799
124.763,-39.135,-0.972,1.003,-1.583,-1.465,-0.579,-2.043,-1.975,-1.145
124.773,-37.508,-17.908,0.634,-1.950,-1.801,-0.964,-2.427,-2.255,-1.487
124.784,-36.966,-27.396,0.409,-2.360,-2.181,-1.343,-2.854,-2.578,-1.823
124.794,-34.838,24.858,1.398,-2.631,-2.494,-1.710,-2.947,-2.823,-2.133
124.805,-33.935,35.210,2.326,-2.963,-2.857,-2.055,-3.108,-3.093,-2.397
124.816,-30.908,-6.886,2.091,-3.242,-3.096,-2.371,-3.388,-3.233,-2.623
124.827,-27.264,-15.768,1.300,-3.490,-3.282,-2.671,-3.698,-3.331,-2.845
124.839,-21.777,-19.964,0.772,-3.643,-3.412,-2.921,-3.824,-3.383,-3.023
124.850,-15.878,0.701,0.916,-3.671,-3.460,-3.103,-3.717,-3.357,-3.133
124.861,-12.679,8.586,0.920,-3.739,-3.520,-3.234,-3.725,-3.342,-3.192
124.873,-8.505,-25.476,0.459,-3.797,-3.505,-3.322,-3.883,-3.259,-3.211
124.883,-3.296,-47.821,-0.201,-3.817,-3.445,-3.368,-4.030,-3.143,-3.200
124.894,2.200,8.869,0.094,-3.698,-3.323,-3.350,-3.851,-2.972,-3.129
124.905,7.584,36.701,1.077,-3.484,-3.169,-3.276,-3.417,-2.760,-2.992
124.916,12.821,12.301,1.381,-3.173,-2.881,-3.123,-2.973,-2.404,-2.764
124.927,19.501,5.138,0.935,-2.833,-2.499,-2.900,-2.672,-1.972,-2.482
124.938,20.562,-10.859,0.358,-2.565,-2.199,-2.640,-2.430,-1.637,-2.176
124.950,32.692,-5.693,0.065,-2.006,-1.627,-2.316,-1.870,-1.046,-1.819
124.961,34.260,-5.930,-0.080,-1.550,-1.156,-1.907,-1.428,-0.568,-1.389
124.973,37.484,-9.253,-0.346,-1.084,-0.656,-1.485,-1.032,-0.074,-0.957
124.984,38.306,-19.450,-0.724,-0.663,-0.197,-1.047,-0.702,0.364,-0.522
124.996,40.831,-34.606,-0.812,-0.178,0.319,-0.586,-0.303,0.850,-0.074
125.006,38.392,9.759,-0.526,0.201,0.701,-0.159,0.060,1.194,0.331
125.018,39.457,36.473,0.384,0.672,1.129,0.278,0.620,1.591,0.751
125.029,36.914,39.587,0.996,1.068,1.528,0.724,1.001,1.963,1.185
125.040,32.614,10.358,0.376,1.305,1.832,1.117,1.068,2.233,1.557
125.052,35.079,-23.550,-0.682,1.617,2.259,1.493,1.078,2.605,1.890
125.063,32.683,-56.629,-1.496,1.839,2.581,1.858,1.024,2.854,2.194
125.075,31.527,-44.866,-1.853,2.093,2.887,2.199,1.106,3.074,2.460
125.086,28.889,-25.247,-1.771,2.332,3.139,2.517,1.263,3.238,2.698
125.098,27.441,17.043,-0.978,2.651,3.393,2.809,1.692,3.408,2.915
125.109,19.826,21.616,-0.458,2.740,3.435,3.040,1.851,3.379,3.081
125.120,11.899,1.102,-0.559,2.755,3.445,3.206,1.838,3.320,3.181
125.132,7.771,-13.809,-1.001,2.710,3.422,3.280,1.700,3.225,3.183
125.143,1.765,-29.520,-1.412,2.590,3.325,3.305,1.478,3.053,3.132
125.154,-5.094,-30.412,-1.584,2.320,3.070,3.232,1.132,2.725,2.981
125.166,-7.752,-17.775,-1.234,2.203,2.905,3.128,1.092,2.495,2.807
125.177,-16.375,0.086,-0.845,1.849,2.510,2.951,0.804,2.049,2.569
125.189,-19.807,4.675,-0.627,1.584,2.224,2.725,0.568,1.723,2.293
125.200,-23.794,-10.172,-0.704,1.232,1.865,2.451,0.221,1.330,1.975
125.211,-25.339,-12.524,-0.745,0.890,1.514,2.145,-0.106,0.952,1.630
125.223,-28.184,-9.635,-0.614,0.547,1.148,1.826,-0.399,0.568,1.279
125.234,-29.208,1.395,-0.268,0.196,0.763,1.472,-0.662,0.176,0.905
125.246,-31.563,4.891,0.105,-0.179,0.375,1.121,-0.991,-0.205,0.547
125.257,-33.588,4.630,0.289,-0.613,-0.064,0.732,-1.383,-0.628,0.162
125.268,-35.045,1.582,0.387,-1.023,-0.479,0.343,-1.743,-1.016,-0.213
125.280,-35.761,-6.395,0.236,-1.453,-0.894,-0.054,-2.165,-1.398,-0.593
125.291,-38.431,-23.651,0.121,-1.929,-1.354,-0.467,-2.628,-1.821,-0.982
125.302,-39.512,-29.455,0.084,-2.424,-1.828,-0.911,-3.117,-2.251,-1.396
125.314,-42.145,10.928,0.774,-2.873,-2.303,-1.356,-3.436,-2.670,-1.799
125.325,-42.999,29.613,1.769,-3.334,-2.832,-1.832,-3.654,-3.120,-2.212
125.337,-38.491,45.056,2.315,-3.639,-3.155,-2.265,-3.816,-3.349,-2.564
125.348,-35.054,36.138,2.386,-3.897,-3.430,-2.643,-3.928,-3.523,-2.852
125.360,-30.518,12.208,2.048,-4.123,-3.648,-2.979,-4.073,-3.642,-3.097
125.371,-26.924,-1.495,1.618,-4.329,-3.832,-3.262,-4.228,-3.732,-3.294
125.383,-23.568,12.298,1.514,-4.519,-4.014,-3.517,-4.341,-3.824,-3.463
125.394,-18.070,4.278,1.171,-4.621,-4.081,-3.710,-4.427,-3.805,-3.573
125.404,-12.291,-19.996,0.752,-4.606,-4.055,-3.840,-4.367,-3.717,-3.642
125.415,-3.263,-16.905,0.796,-4.400,-3.857,-3.887,-4.081,-3.462,-3.629
125.426,1.438,-11.997,0.779,-4.264,-3.703,-3.863,-3.924,-3.255,-3.548
125.437,6.229,-3.330,0.860,-4.090,-3.498,-3.789,-3.763,-2.999,-3.417
125.448,9.671,16.878,1.146,-3.864,-3.274,-3.665,-3.473,-2.726,-3.235
125.459,12.322,23.778,1.432,-3.626,-3.074,-3.513,-3.092,-2.477,-3.027
125.470,12.851,15.252,1.546,-3.449,-2.902,-3.345,-2.850,-2.258,-2.803
125.481,15.057,7.822,1.531,-3.212,-2.646,-3.153,-2.606,-1.959,-2.558
125.492,12.382,3.059,1.406,-3.159,-2.557,-2.979,-2.582,-1.831,-2.336
125.503,6.814,-3.539,1.234,-3.228,-2.586,-2.847,-2.694,-1.824,-2.162
125.514,-1.633,-4.681,1.187,-3.429,-2.782,-2.802,-2.861,-1.983,-2.077
125.525,-14.855,-0.785,1.173,-3.832,-3.180,-2.867,-3.222,-2.342,-2.103
125.536,-26.085,26.868,1.872,-4.321,-3.707,-3.069,-3.566,-2.819,-2.261
125.547,-36.295,31.153,2.577,-4.836,-4.240,-3.368,-3.970,-3.286,-2.503
125.558,-46.625,4.002,2.249,-5.642,-4.971,-3.800,-4.853,-3.942,-2.873
125.569,-56.827,-38.126,1.177,-6.543,-5.767,-4.333,-5.895,-4.665,-3.349
125.581,-63.228,-34.855,0.680,-7.375,-6.558,-4.967,-6.726,-5.383,-3.928
125.592,-71.755,-21.954,0.653,-8.340,-7.515,-5.684,-7.608,-6.259,-4.585
125.603,-79.504,23.954,1.026,-9.303,-8.504,-6.466,-8.400,-7.153,-5.295
125.613,-82.197,0.482,1.090,-10.176,-9.387,-7.284,-9.128,-7.927,-6.028
125.625,-79.792,8.989,1.237,-10.947,-10.164,-8.148,-9.720,-8.558,-6.776
125.636,-74.721,29.471,1.570,-11.599,-10.849,-8.948,-10.125,-9.086,-7.444
125.647,-66.379,22.375,1.970,-12.011,-11.293,-9.604,-10.287,-9.359,-7.952
125.658,-56.656,-0.709,1.252,-12.479,-11.638,-10.165,-10.833,-9.535,-8.362
125.669,-40.736,-2.150,0.492,-12.653,-11.707,-10.628,-11.056,-9.453,-8.686
